"TOA5","5212","CR1000","5212","CR1000.Std.10","CRD:july8_06_OnIce1.CR1","24312","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC","NR_Wm2_Avg","CNR_Wm2_Avg","RH"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","Watts/meter²","%"
"","","WVc","WVc","WVc","Max","Smp","Avg","Avg","Smp"
"2006-07-09 15:05:00",0,3.272,314.7,6.82,4.482,3.301,29.97,29.97,75.99
"2006-07-09 15:10:00",1,2.322,278.8,43.65,4.995,3.594,73.58,73.58,76.54
"2006-07-09 15:15:00",2,1.477,141.9,71.79,2.479,3.593,58.34,58.34,81.4
"2006-07-09 15:20:00",3,1.39,358.3,73.96,3.133,3.786,87.4,87.4,73.97
"2006-07-09 15:25:00",4,2.586,316.5,53.57,6.22,3.686,128.3,128.7,74.89
"2006-07-09 15:30:00",5,2.707,308.1,39.69,4.443,3.44,147.5,147.5,73.94
"2006-07-09 15:35:00",6,4.282,325.6,9.85,4.616,3.585,208.2,208.2,73.7
"2006-07-09 15:40:00",7,3.965,311.2,16.3,5.759,3.658,170.4,171,74.48
"2006-07-09 15:45:00",8,4.1,328.6,14.09,5.38,3.63,157.9,158.1,73.62
"2006-07-09 15:50:00",9,2.535,296.4,23.45,3.495,3.358,78.55,78.55,80.4
"2006-07-09 15:55:00",10,3.534,326.7,4.755,4.89,3.331,55.64,55.64,77.88
"2006-07-09 16:00:00",11,3.651,325.6,10.64,5.449,3.624,73.47,73.53,76.14
"2006-07-09 16:05:00",12,3.104,319.6,9.54,4.929,3.549,10.36,10.36,76.55
"2006-07-09 16:10:00",13,2.207,316.7,15.78,3.649,3.353,-6.028,-6.028,78.7
"2006-07-09 16:15:00",14,3.219,319.8,5.204,4.24,3.098,-36.27,-36.27,81.1
"2006-07-09 16:20:00",15,4.507,332,5.57,5.315,2.869,-56.48,-56.54,83.1
"2006-07-09 16:25:00",16,3.146,321.2,14.07,4.106,2.799,-44.89,-44.89,83.9
"2006-07-09 16:30:00",17,3.024,328.4,7.743,3.437,2.582,-8.82,-8.82,85.7
"2006-07-09 16:35:00",18,1.284,303,23.1,2.698,2.9,36.43,36.43,83.8
"2006-07-09 16:40:00",19,1.533,269.5,30.93,2.163,2.731,17.57,17.57,85.8
"2006-07-09 16:45:00",20,0.853,170.2,16.02,1.202,2.98,41.05,41.05,86.4
"2006-07-09 16:50:00",21,0.252,168.2,11.69,0.686,3.567,64.37,64.37,83.9
"2006-07-09 16:55:00",22,0.05,294.9,40.56,0.359,3.688,56.54,56.54,82.1
"2006-07-09 17:00:00",23,0.029,317.9,0,0.225,4.178,82.8,82.8,79.84
"2006-07-09 17:05:00",24,0.212,143.5,0.19,0.503,4.028,73.96,73.96,81
"2006-07-09 17:10:00",25,0.553,354.1,57.43,1.418,3.293,46.31,46.31,83.7
"2006-07-09 17:15:00",26,1.197,332.6,6.133,1.428,2.804,54.05,54.05,87.3
"2006-07-09 17:20:00",27,0.79,347.9,12.26,1.303,3.096,58.26,58.26,86.1
"2006-07-09 17:25:00",28,0.439,27.11,29.52,0.666,3.486,62.98,62.98,85.3
"2006-07-09 17:30:00",29,0.768,91.7,13.49,1.362,3.34,60.36,60.36,86.9
"2006-07-09 17:35:00",30,0.146,134.7,10.72,0.327,3.681,79.5,79.5,84.9
"2006-07-09 17:40:00",31,0.441,132.4,8.04,0.549,3.742,87.6,87.6,86.4
"2006-07-09 17:45:00",32,0.46,127.2,8.19,0.66,3.582,75.31,75.31,88
"2006-07-09 17:50:00",33,0.218,141.1,5.249,0.742,3.723,82.7,82.7,85.8
"2006-07-09 17:55:00",34,0.588,315.5,16.77,1.251,3.122,45.76,45.76,88
"2006-07-09 18:00:00",35,0.766,10.92,22.2,1.176,3.145,54.94,54.94,89.8
"2006-07-09 18:05:00",36,1.112,51.93,8.49,1.313,2.937,34.73,34.73,89.6
"2006-07-09 18:10:00",37,0.798,30.31,10.06,1.251,3.034,48.4,48.4,89.7
"2006-07-09 18:15:00",38,0.833,358.6,12.29,1.32,3.156,69.34,69.34,89.7
"2006-07-09 18:20:00",39,0.063,19.73,0.092,0.255,4.156,94.1,94.1,84.9
"2006-07-09 18:25:00",40,0.104,34.21,4.93,0.301,5.035,97.6,97.6,80.1
"2006-07-09 18:30:00",41,0.161,346.9,1.13,0.627,4.742,67.44,67.44,81
"2006-07-09 18:35:00",42,0.418,21.94,30.11,0.81,4.303,29.83,29.83,83.6
"2006-07-09 17:40:00",43,0.595,353.2,15.1,0.908,3.62,50.62,50.62,86.3
"2006-07-09 17:45:00",44,0.565,45.97,60.92,1.352,3.667,44.91,44.91,87.4
"2006-07-09 17:50:00",45,1.193,45.38,49.13,1.79,3.454,36.42,36.42,88.4
"2006-07-09 17:55:00",46,1,43.02,79.35,1.708,3.854,58.89,58.89,84.7
"2006-07-09 18:00:00",47,1.153,207.8,94.1,2.127,3.364,56.61,56.61,88.1
"2006-07-09 18:05:00",48,1.311,296.1,69.02,3.172,3.965,38.4,38.4,84
"2006-07-09 18:10:00",49,1.683,270.6,86.4,3.544,3.415,25.98,25.98,90.1
"2006-07-09 18:15:00",50,0.961,282.9,39.54,1.803,3.657,75.33,75.33,90.6
"2006-07-09 18:20:00",51,1.115,29.99,32.63,2.051,3.852,57.22,57.22,88.6
"2006-07-09 18:25:00",52,1.428,161.6,18.37,2.238,3.802,50.83,50.83,90.8
"2006-07-09 18:30:00",53,0.645,253.5,31.07,1.323,3.608,81.6,81.6,89.7
"2006-07-09 18:35:00",54,1.875,323.6,6.941,3.051,3.205,46.88,46.88,93.6
"2006-07-09 18:40:00",55,1.558,137.9,3.607,2.813,3.413,34.24,34.24,91.5
"2006-07-09 18:45:00",56,1.106,96.5,21.26,1.365,3.513,68.02,68.02,91
"2006-07-09 18:50:00",57,0.907,90.6,17.4,1.365,3.34,43.93,43.93,91.8
"2006-07-09 18:55:00",58,0.546,105.1,16.35,1.215,3.416,50.83,50.83,92.3
"2006-07-09 19:00:00",59,0.617,82.8,22.83,1.418,3.443,39.42,39.42,92.1
"2006-07-09 19:05:00",60,1.838,78.16,40.6,3.254,3.127,8.57,8.57,88.7
"2006-07-09 19:10:00",61,1.539,111.4,22.97,2.355,3.178,38.73,38.73,94
"2006-07-09 19:15:00",62,0.157,98.6,65.99,0.49,3.57,57.82,57.82,91.7
"2006-07-09 19:20:00",63,0.909,348.3,62.63,1.473,3.18,27.93,27.93,93.9
"2006-07-09 19:25:00",64,0.994,133.9,37.31,1.725,3.131,26.47,26.47,94.5
"2006-07-09 19:30:00",65,0.692,327,72.99,1.444,3.131,29.32,29.32,90.7
"2006-07-09 19:35:00",66,3.312,309.1,25.8,5.099,3.083,-33.06,-33.08,89.5
"2006-07-09 19:40:00",67,4.679,322.9,9.68,6.027,3.229,-54.28,-54.71,87.5
"2006-07-09 19:45:00",68,5.909,326.7,7.622,6.886,2.961,-48.61,-49.52,88.8
"2006-07-09 19:50:00",69,6.247,320.8,6.721,6.961,2.988,-33.94,-34.87,88.3
"2006-07-09 19:55:00",70,6.743,320,6.007,7.376,3.043,-44.68,-46.37,85.9
"2006-07-09 20:00:00",71,6.831,321.7,8.04,7.961,3.094,-52.74,-54.9,84.5
"2006-07-09 20:05:00",72,7.262,321.9,1.957,8.68,3.049,-60.1,-63.12,84
"2006-07-09 20:10:00",73,7.828,323.9,4.863,8.62,2.917,-63.37,-67.19,84.3
"2006-07-09 20:15:00",74,7.563,323.9,8.23,8.51,2.883,-64.88,-68.46,84.2
"2006-07-09 20:20:00",75,7.278,319.7,3.1,7.755,2.861,-66.06,-69.27,84.5
"2006-07-09 20:25:00",76,7.202,320.4,7.547,8.08,2.837,-63.75,-66.77,84.6
"2006-07-09 20:30:00",77,6.665,321.6,4.2,7.83,2.765,-58.91,-61.05,84.9
"2006-07-09 20:35:00",78,5.621,325.3,9.23,6.804,3.083,-52.42,-53.27,82.4
"2006-07-09 20:40:00",79,6.653,328.5,5.329,7.441,2.815,-49.9,-51.7,83.4
"2006-07-09 20:45:00",80,6.571,326.9,4.424,7.105,2.889,-47.42,-49.03,83.3
"2006-07-09 20:50:00",81,5.793,320.7,8.04,6.948,2.962,-36.8,-37.49,82.3
"2006-07-09 20:55:00",82,6.106,329.6,4.678,6.886,2.571,-30.3,-31.07,85.4
"2006-07-09 21:00:00",83,5.838,331,5.712,6.687,2.669,-37.57,-38.28,85.3
"2006-07-09 21:05:00",84,3.966,321.3,11.56,5.057,2.572,-34.51,-34.52,84.9
"2006-07-09 21:10:00",85,4.724,322,14.41,5.191,2.718,-39.39,-39.43,85.2
"2006-07-09 21:15:00",86,3.798,318.8,23.86,5.171,2.767,-34.92,-34.94,87
"2006-07-09 21:20:00",87,1.085,295.9,34.96,2.793,2.376,5.697,5.697,94.3
"2006-07-09 21:25:00",88,0.099,293.7,8.08,0.252,2.425,8.7,8.7,94.7
"2006-07-09 21:30:00",89,0.36,4.099,20.44,1.712,2.425,0.693,0.693,91.7
"2006-07-09 21:35:00",90,1.48,241.3,69.05,2.179,2.669,-11.65,-11.65,92
"2006-07-09 21:40:00",91,1.718,249.4,71.21,2.274,2.23,-4.106,-4.106,95
"2006-07-09 21:45:00",92,0.077,315.3,11.32,0.382,2.181,3.746,3.746,95.7
"2006-07-09 21:50:00",93,0.314,184.6,51.11,0.8,2.134,9.55,9.55,95.8
"2006-07-09 21:55:00",94,0.187,273.9,38.65,0.758,2.135,10.47,10.47,96
"2006-07-09 22:00:00",95,0.691,116.3,74.67,1.085,2.136,4.619,4.619,96.4
"2006-07-09 22:05:00",96,0.472,50.27,50.1,0.869,2.247,1.334,1.334,95
