"TOA5","5264","CR1000","5264","CR1000.Std.10","CRD:KLRS_AWS_AUG_2012.CR1","34827","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg"
"2012-08-04 17:10:00",0,0.693,241.3,11.43,1.297,14.6,175.8,0.685
"2012-08-04 17:15:00",1,1.249,262.6,14.55,1.8,14.62,175.1,0.685
"2012-08-04 17:20:00",2,1.477,251.7,17.74,1.846,14.41,177.9,0.685
"2012-08-04 17:25:00",3,1.592,264,11.91,2.215,14.3,164,0.685
"2012-08-04 17:30:00",4,1.834,268.1,9.17,2.43,14.27,171.7,0.685
"2012-08-04 17:35:00",5,1.947,262.7,16.22,2.44,14.3,156.5,0.685
"2012-08-04 17:40:00",6,2.059,253.1,21.51,2.43,14.41,165.4,0.685
"2012-08-04 17:45:00",7,1.752,236.8,10.75,2.022,14.45,155,0.685
"2012-08-04 17:50:00",8,1.679,255.9,18.99,2.434,14.43,161.4,0.685
"2012-08-04 17:55:00",9,2.016,253.1,15.03,2.737,14.53,151.2,0.685
"2012-08-04 18:00:00",10,2.16,250.6,14.98,2.786,14.53,140.4,0.685
"2012-08-04 18:05:00",11,1.669,254.5,16.04,1.996,14.23,139.4,0.685
"2012-08-04 18:10:00",12,1.656,239.2,21.35,2.136,14.12,158.3,0.685
"2012-08-04 18:15:00",13,1.893,264.4,16.88,2.257,14.1,138.5,0.685
"2012-08-04 18:20:00",14,1.258,268.4,20.01,1.643,14.96,109.8,0.685
"2012-08-04 18:25:00",15,1.086,261.3,25.89,2.218,15.48,107.9,0.685
"2012-08-04 18:30:00",16,0.894,270.8,21.5,1.183,14.57,135.6,0.685
"2012-08-04 18:35:00",17,1.136,247.4,19.56,1.803,14.3,141.7,0.685
"2012-08-04 18:40:00",18,0.407,237.3,30.03,0.947,14.37,161,0.685
"2012-08-04 18:45:00",19,1.97,249.8,25.43,2.532,14.57,179.9,0.685
"2012-08-04 18:50:00",20,2.493,250,9.39,3.152,14.33,163.5,0.685
"2012-08-04 18:55:00",21,1.181,262.9,22,1.891,14.17,120.2,0.685
"2012-08-04 19:00:00",22,0.975,301.7,20.11,1.852,14.08,92.2,0.685
"2012-08-04 19:05:00",23,0.811,285.9,35.35,1.49,14.12,87.3,0.685
"2012-08-04 19:10:00",24,0.633,301,38.95,1.356,14.51,96.7,0.685
"2012-08-04 19:15:00",25,0.736,280.7,26.6,1.055,14.6,95.1,0.685
"2012-08-04 19:20:00",26,1.096,252.3,20.54,1.597,14.37,79.12,0.685
"2012-08-04 19:25:00",27,1.456,274.8,13.27,2.149,14.28,65.57,0.685
"2012-08-04 19:30:00",28,1.34,264.7,15.63,1.95,13.89,58.87,0.685
"2012-08-04 19:35:00",29,1.089,281.7,22.06,1.532,14,62.57,0.685
"2012-08-04 19:40:00",30,0.998,296.3,24.82,1.532,14.23,70.5,0.685
"2012-08-04 19:45:00",31,0.646,294.1,43.41,1.258,14.17,65.42,0.685
"2012-08-04 19:50:00",32,1.148,269.4,23.11,1.421,13.97,62.59,0.685
"2012-08-04 19:55:00",33,1.402,251,18.27,1.911,13.89,67.46,0.685
"2012-08-04 20:00:00",34,0.951,275.7,12.41,1.238,13.97,69.01,0.685
"2012-08-04 20:05:00",35,1.31,278.5,25.57,2.225,14.01,64.34,0.685
"2012-08-04 20:10:00",36,1.167,265.1,12.77,1.963,14.02,54.19,0.685
"2012-08-04 20:15:00",37,1.451,262.4,16.46,2.045,14.12,46.85,0.685
"2012-08-04 20:20:00",38,1.069,252.9,25.15,1.784,14.03,49.67,0.685
"2012-08-04 20:25:00",39,1.116,268.3,32.86,1.477,13.93,48.83,0.685
"2012-08-04 20:30:00",40,0.533,196.8,70.66,1.297,13.85,43.29,0.685
"2012-08-04 20:35:00",41,0.751,18.44,28.22,0.973,13.95,33.47,0.685
"2012-08-04 20:40:00",42,1.289,2.713,18.47,2.084,13.94,29.79,0.685
"2012-08-04 20:45:00",43,0.804,22.75,18.86,1.45,13.91,26.89,0.685
"2012-08-04 20:50:00",44,0.485,345.2,46.77,1.584,13.99,16.68,0.685
"2012-08-04 20:55:00",45,0.927,304,51.66,1.447,14.03,2.463,0.685
"2012-08-04 21:00:00",46,0.518,340.1,26.26,0.921,13.88,-12.75,0.685
"2012-08-04 21:05:00",47,0.465,345.6,22.2,0.621,13.81,-24.73,0.685
"2012-08-04 21:10:00",48,0.78,312.1,15.7,1.049,13.73,-33.31,0.685
"2012-08-04 21:15:00",49,1.065,273.2,26.11,1.682,13.55,-35.98,0.685
"2012-08-04 21:20:00",50,0.51,284.7,15.56,0.807,13.57,-33.34,0.685
"2012-08-04 21:25:00",51,0.634,323,17.21,0.823,13.44,-33.82,0.685
"2012-08-04 21:30:00",52,0.876,338.5,60.31,1.499,13.2,-37.02,0.685
"2012-08-04 21:35:00",53,0.606,269.5,22.82,1.088,13.37,-44.72,0.685
"2012-08-04 21:40:00",54,0.799,215.7,24,1.29,13.09,-50.82,0.685
"2012-08-04 21:45:00",55,1.321,206.4,18.13,1.764,12.6,-50.77,0.685
"2012-08-04 21:50:00",56,0.391,220.3,63.15,0.987,12.55,-52.03,0.685
"2012-08-04 21:55:00",57,0.346,162.4,29.71,0.552,12.39,-54.22,0.685
"2012-08-04 22:00:00",58,0.404,152.9,49.83,1.189,12.01,-58.03,0.685
"2012-08-04 22:05:00",59,0.977,117.9,39.28,1.509,11.48,-60.09,0.685
"2012-08-04 22:10:00",60,0.23,176.3,63.18,0.529,11.03,-63.07,0.685
"2012-08-04 22:15:00",61,0.426,102.8,4.766,1.3,10.67,-66.02,0.685
"2012-08-04 22:20:00",62,0.78,142.1,36.56,1.316,10.61,-66.7,0.685
"2012-08-04 22:25:00",63,0.788,165.2,23.96,1.32,9.98,-69.85,0.685
"2012-08-04 22:30:00",64,0.478,140.1,29.82,0.889,10.55,-68.3,0.685
"2012-08-04 22:35:00",65,0.331,43.46,25.63,0.676,10.81,-66.7,0.685
"2012-08-04 22:40:00",66,0.589,135.7,83.2,1.209,10.87,-67.85,0.685
"2012-08-04 22:45:00",67,0.737,101.1,17.82,1.232,10.83,-61.33,0.685
"2012-08-04 22:50:00",68,0.584,161.5,39.32,1.045,10.43,-54.24,0.685
"2012-08-04 22:55:00",69,1.519,75.51,10.12,1.95,11,-49.14,0.685
"2012-08-04 23:00:00",70,0.726,135.6,52.91,1.117,10.84,-42.03,0.685
"2012-08-04 23:05:00",71,0.681,107,34.86,1.388,10.74,-38.83,0.685
"2012-08-04 23:10:00",72,0.626,129.2,40.29,1.284,10.76,-40.4,0.685
"2012-08-04 23:15:00",73,0.683,138.8,69.25,1.46,10.09,-41.7,0.685
"2012-08-04 23:20:00",74,1.092,165.3,59.56,1.62,9.44,-41.04,0.685
"2012-08-04 23:25:00",75,1.252,122.5,28.08,1.996,8.73,-42.51,0.685
"2012-08-04 23:30:00",76,1.009,116.1,23.59,1.424,8.72,-41.9,0.685
"2012-08-04 23:35:00",77,0.873,135.6,44.28,1.542,8.88,-39.89,0.685
"2012-08-04 23:40:00",78,0.562,178.2,26.93,1.016,8.64,-38.67,0.685
"2012-08-04 23:45:00",79,0.939,110.1,26.1,1.33,8.51,-36.26,0.685
"2012-08-04 23:50:00",80,0.616,130.5,35.79,1.235,8.52,-34.89,0.685
"2012-08-04 23:55:00",81,0.763,97.4,21.94,1.199,8.59,-35.04,0.685
"2012-08-05 00:00:00",82,0.981,142.7,23.11,1.281,8.85,-35.37,0.686
"2012-08-05 00:05:00",83,0.846,187.7,24.65,1.385,8.85,-39.21,0.686
"2012-08-05 00:10:00",84,0.562,173.3,23.01,0.826,8.5,-42.87,0.686
"2012-08-05 00:15:00",85,0.911,115.8,77.37,1.875,8.95,-43.36,0.686
"2012-08-05 00:20:00",86,0.624,205.3,65.12,1.365,9.66,-43.31,0.686
"2012-08-05 00:25:00",87,0.712,121.8,50.55,1.032,9.59,-43.61,0.686
"2012-08-05 00:30:00",88,0.426,165.8,38.58,1.31,9.59,-40.67,0.686
"2012-08-05 00:35:00",89,0.887,121.5,15.26,1.12,8.88,-42.22,0.686
"2012-08-05 00:40:00",90,0.741,169.5,25.48,1.12,8.79,-44.71,0.686
"2012-08-05 00:45:00",91,0.212,126.5,16.93,0.65,8.46,-47.74,0.686
"2012-08-05 00:50:00",92,0.607,129.8,37.85,1.032,8.3,-49.36,0.686
"2012-08-05 00:55:00",93,0.668,124.9,30.1,1.124,7.659,-49.31,0.686
"2012-08-05 01:00:00",94,0.776,120.1,44.04,1.205,7.351,-47.41,0.686
"2012-08-05 01:05:00",95,0.454,191.3,50.79,0.846,7.159,-46.57,0.686
"2012-08-05 01:10:00",96,0.205,121.7,54.27,0.497,6.9,-46.19,0.686
"2012-08-05 01:15:00",97,0.955,152,36.49,1.532,6.609,-43.64,0.686
"2012-08-05 01:20:00",98,0.588,127.3,33.37,1.238,6.785,-43.01,0.686
"2012-08-05 01:25:00",99,0.777,139.9,29.11,1.686,6.779,-41.15,0.686
"2012-08-05 01:30:00",100,1.311,127.6,16.46,1.735,6.884,-44.1,0.686
"2012-08-05 01:35:00",101,0.655,148.6,45.07,1.264,7.158,-41.46,0.686
"2012-08-05 01:40:00",102,0.873,158,19.76,1.078,7.23,-43.16,0.686
"2012-08-05 01:45:00",103,0.557,161.2,33.82,0.892,7.154,-42.8,0.686
"2012-08-05 01:50:00",104,0.532,142.6,26.27,1.183,7.094,-43.21,0.686
"2012-08-05 01:55:00",105,0.956,144.9,30.98,1.362,7.593,-43.72,0.686
"2012-08-05 02:00:00",106,0.694,159.1,33.4,1.202,8.01,-42.86,0.686
"2012-08-05 02:05:00",107,1.328,133.3,34,2.3,8.02,-43.92,0.686
"2012-08-05 02:10:00",108,1.401,184.6,74.3,2.27,7.691,-45.02,0.686
"2012-08-05 02:15:00",109,0.839,164.6,49.97,1.731,7.814,-43.41,0.686
"2012-08-05 02:20:00",110,0.995,137.2,23.04,1.676,8.03,-44.15,0.686
"2012-08-05 02:25:00",111,0.795,147,19.42,1.166,7.986,-43.67,0.686
"2012-08-05 02:30:00",112,1.003,144.7,31.25,1.555,8.2,-40.82,0.686
"2012-08-05 02:35:00",113,0.922,152.2,23.92,1.349,8.33,-40.06,0.686
"2012-08-05 02:40:00",114,0.724,175.4,16.74,0.967,8.47,-38.43,0.686
"2012-08-05 02:45:00",115,0.863,158.1,27.94,1.627,8.41,-36.86,0.686
"2012-08-05 02:50:00",116,0.71,130.4,26.42,1.232,7.811,-36.32,0.686
"2012-08-05 02:55:00",117,0.41,132.3,28.72,0.728,7.197,-34.06,0.686
"2012-08-05 03:00:00",118,0.364,124.3,25.9,0.846,6.972,-30.76,0.686
"2012-08-05 03:05:00",119,0.38,133.7,35.09,0.699,6.841,-27.83,0.686
"2012-08-05 03:10:00",120,0.721,145,28.55,1.143,6.789,-24.76,0.686
"2012-08-05 03:15:00",121,0.679,110.4,14.1,0.807,6.77,-23.49,0.686
"2012-08-05 03:20:00",122,0.815,127.1,20.04,1.251,6.887,-23.39,0.686
"2012-08-05 03:25:00",123,0.302,123.1,22.82,0.663,6.912,-23.28,0.686
"2012-08-05 03:30:00",124,0.866,112.6,21.89,1.258,6.75,-21.81,0.686
"2012-08-05 03:35:00",125,0.676,107.8,19.24,1.761,6.691,-20.34,0.686
"2012-08-05 03:40:00",126,0.535,58.95,19.36,1.045,6.646,-20.18,0.686
"2012-08-05 03:45:00",127,0.685,94.1,11.87,1.186,6.622,-20.62,0.686
"2012-08-05 03:50:00",128,0.981,121.5,14.16,1.395,6.815,-20.13,0.686
"2012-08-05 03:55:00",129,0.937,118.4,17.37,1.365,6.871,-20.62,0.686
"2012-08-05 04:00:00",130,0.64,118.6,15.57,1.209,7.163,-20.59,0.686
"2012-08-05 04:05:00",131,0.846,151.2,15.91,1.085,7.396,-19.3,0.686
"2012-08-05 04:10:00",132,0.585,125.3,18.16,0.843,7.475,-18.48,0.686
"2012-08-05 04:15:00",133,0.467,115.4,25.09,1.13,7.291,-18.71,0.686
"2012-08-05 04:20:00",134,0.427,122,45.48,0.813,7.006,-19.19,0.686
"2012-08-05 04:25:00",135,0.907,130.2,21.55,1.421,7.258,-18.15,0.686
"2012-08-05 04:30:00",136,1.435,94.5,28.16,2.002,6.976,-16.7,0.686
"2012-08-05 04:35:00",137,0.677,105.2,39.37,1.274,6.894,-16.25,0.686
"2012-08-05 04:40:00",138,1.046,105.9,17.78,1.561,6.836,-16.19,0.686
"2012-08-05 04:45:00",139,0.649,138.1,47.81,1.545,6.778,-15.2,0.686
"2012-08-05 04:50:00",140,0.575,161.5,38.66,1.359,6.917,-13.37,0.686
"2012-08-05 04:55:00",141,0.131,117.7,0.055,0.915,6.989,-19.5,0.686
"2012-08-05 05:00:00",142,0.444,142.6,17.49,0.908,7.086,-33.05,0.686
"2012-08-05 05:05:00",143,0.871,76.88,22.74,1.931,6.987,-36.48,0.686
"2012-08-05 05:10:00",144,1.619,70.45,10.15,2.3,6.905,-39.25,0.686
"2012-08-05 05:15:00",145,0.409,66.86,13.68,1.32,6.939,-28.96,0.686
"2012-08-05 05:20:00",146,0.964,55.05,28.62,1.558,7.036,-28.25,0.686
"2012-08-05 05:25:00",147,1.676,119.6,18.1,1.953,7.239,-35.37,0.686
"2012-08-05 05:30:00",148,2.127,86.4,15.29,2.581,7.234,-30.97,0.686
"2012-08-05 05:35:00",149,1.911,325.6,70.92,3.129,7.694,-29.16,0.686
"2012-08-05 05:40:00",150,0.369,10.71,35.76,0.924,7.932,-25.17,0.686
"2012-08-05 05:45:00",151,0.394,283.1,76.4,0.954,8.21,-25.22,0.686
"2012-08-05 05:50:00",152,1.379,229.6,24.97,2.44,8.51,-23.74,0.686
"2012-08-05 05:55:00",153,1.724,228,18.16,2.136,9.02,-20.49,0.686
"2012-08-05 06:00:00",154,1.097,180.1,20.73,2.319,8.66,-18.66,0.686
"2012-08-05 06:05:00",155,0.286,169.7,28.71,0.585,8.14,-18.73,0.686
"2012-08-05 06:10:00",156,0.329,123.4,36.01,0.621,7.856,-18.73,0.686
"2012-08-05 06:15:00",157,0.083,195.8,9.88,0.294,7.626,-18.5,0.686
"2012-08-05 06:20:00",158,0.249,204.4,24.18,0.679,7.385,-17.89,0.686
"2012-08-05 06:25:00",159,0.031,161.5,3.544,0.173,7.194,-16.34,0.686
"2012-08-05 06:30:00",160,0.945,121.6,38.53,2.215,7.322,-15.68,0.686
"2012-08-05 06:35:00",161,0.878,154.1,79.33,1.336,7.372,-13.98,0.686
"2012-08-05 06:40:00",162,0.235,279.3,84.6,0.807,7.363,-12.51,0.686
"2012-08-05 06:45:00",163,0.073,198.6,33.87,0.379,7.605,-12.18,0.686
"2012-08-05 06:50:00",164,0.231,9.56,36.46,0.768,7.717,-11.74,0.686
"2012-08-05 06:55:00",165,0.681,5.005,15.37,1.068,7.931,-11.79,0.686
"2012-08-05 07:00:00",166,0.487,155.3,62.77,0.751,8.1,-9.91,0.686
"2012-08-05 07:05:00",167,0.077,159.3,55.07,0.402,8.01,-5.363,0.686
"2012-08-05 07:10:00",168,0.811,105.3,42.05,1.761,8.09,-5.643,0.686
"2012-08-05 07:15:00",169,1.263,112.1,72.8,2.238,7.881,0.966,0.686
"2012-08-05 07:20:00",170,1.489,151.1,40.35,2.659,8.36,1.652,0.686
"2012-08-05 07:25:00",171,0.62,127.3,67.71,1.365,8.63,3.457,0.686
"2012-08-05 07:30:00",172,1.066,208,20.82,1.937,8.73,-0.432,0.686
"2012-08-05 07:35:00",173,0.8,249.7,31.65,1.385,8.83,0.686,0.686
"2012-08-05 07:40:00",174,0.671,254.3,44.51,0.898,8.84,3.533,0.686
"2012-08-05 07:45:00",175,0.29,204.8,61.53,0.702,8.85,4.499,0.686
"2012-08-05 07:50:00",176,0.9,257.4,29.35,1.31,8.81,8.08,0.686
"2012-08-05 07:55:00",177,0.786,52.05,61.26,1.405,8.91,6.355,0.686
"2012-08-05 08:00:00",178,0.069,333.8,10.87,0.33,8.97,6.177,0.686
"2012-08-05 08:05:00",179,0.842,330.6,17.39,1.503,8.92,12.28,0.686
"2012-08-05 08:10:00",180,0.953,339.2,16.96,1.248,8.93,17.36,0.686
"2012-08-05 08:15:00",181,0.26,350,11.39,1.346,9.01,20.54,0.686
"2012-08-05 08:20:00",182,0.025,273.8,6.718,0.131,9,23.79,0.686
"2012-08-05 08:25:00",183,0.242,272,5.891,0.81,9,26.36,0.686
"2012-08-05 08:30:00",184,0.856,254.9,10.19,1.114,8.95,28.82,0.686
"2012-08-05 08:35:00",185,0.294,257.5,18.53,0.647,8.98,31.04,0.686
"2012-08-05 08:40:00",186,1.033,264.6,17,1.506,8.96,33.02,0.686
"2012-08-05 08:45:00",187,1.636,274.3,8.43,2.63,8.97,36.55,0.686
"2012-08-05 08:50:00",188,0.146,312.5,28.98,0.552,9.06,41.53,0.686
"2012-08-05 08:55:00",189,0.352,263,33.06,0.892,9.09,45.75,0.686
"2012-08-05 09:00:00",190,0.464,317.8,40.72,0.938,9.09,51.68,0.686
"2012-08-05 09:05:00",191,1.494,244.5,42.19,2.143,9.04,57.52,0.686
"2012-08-05 09:10:00",192,1.195,247.7,22.58,1.503,8.96,58.59,0.686
"2012-08-05 09:15:00",193,1.581,225.5,12.96,1.983,8.96,55.92,0.686
"2012-08-05 09:20:00",194,1.231,222.4,14.18,1.78,9.02,49.74,0.686
"2012-08-05 09:25:00",195,1.347,236,7.4,1.79,9.08,48.17,0.686
"2012-08-05 09:30:00",196,1.155,233.6,9.74,1.601,9.12,51.27,0.686
"2012-08-05 09:35:00",197,1.241,222.1,16.05,1.797,9.13,54.14,0.686
"2012-08-05 09:40:00",198,0.997,232.2,21.02,1.441,9.18,56.15,0.686
"2012-08-05 09:45:00",199,1.463,264.3,13.27,2.339,9.23,60.11,0.686
"2012-08-05 09:50:00",200,0.968,266.6,16.4,2.29,9.25,62.99,0.686
"2012-08-05 09:55:00",201,1.373,248.5,10.23,1.97,9.29,65.48,0.686
"2012-08-05 10:00:00",202,1.408,236.8,9.3,1.924,9.34,66.72,0.686
"2012-08-05 10:05:00",203,1.398,234.9,11.64,1.849,9.31,68.5,0.686
"2012-08-05 10:10:00",204,1.391,234.3,11.85,1.8,9.33,68.44,0.686
"2012-08-05 10:15:00",205,1.517,223.3,8.21,1.908,9.31,67.35,0.686
"2012-08-05 10:20:00",206,1.405,222.6,8.48,2.091,9.38,68.49,0.686
"2012-08-05 10:25:00",207,1.471,232.7,15.37,1.908,9.43,76.17,0.686
"2012-08-05 10:30:00",208,1.843,238.9,12.95,2.512,9.48,84.8,0.686
"2012-08-05 10:35:00",209,1.616,223,11.08,2.149,9.5,96.6,0.686
"2012-08-05 10:40:00",210,2.161,232,16.63,2.884,9.51,112.3,0.686
"2012-08-05 10:45:00",211,2.271,231.3,13.09,2.904,9.52,115.9,0.686
"2012-08-05 10:50:00",212,2.293,221.1,14.73,3.018,9.52,108.8,0.685
"2012-08-05 10:55:00",213,1.906,252.2,17.25,2.479,9.59,111.2,0.685
"2012-08-05 11:00:00",214,2.051,235.2,15.53,3.116,9.6,126.6,0.685
"2012-08-05 11:05:00",215,1.97,246.4,12.57,2.688,9.62,138.6,0.685
"2012-08-05 11:10:00",216,1.495,245.3,18.37,2.048,9.79,152.2,0.685
"2012-08-05 11:15:00",217,2.529,241.1,15.75,3.165,9.9,169.3,0.685
"2012-08-05 11:20:00",218,1.92,240.3,7.814,2.541,9.92,188.7,0.685
"2012-08-05 11:25:00",219,1.581,228.2,15.81,1.967,10.18,203.6,0.685
"2012-08-05 11:30:00",220,2.304,213.4,11.24,2.871,10.19,245.6,0.685
"2012-08-05 11:35:00",221,1.88,215.9,17.39,2.669,10.34,265.6,0.685
"2012-08-05 11:40:00",222,1.919,226.9,11.86,2.62,10.47,268.4,0.685
"2012-08-05 11:45:00",223,1.372,239.9,53.34,2.93,10.59,281.2,0.685
"2012-08-05 11:50:00",224,1.929,232.6,14.72,2.597,10.76,291.8,0.685
"2012-08-05 11:55:00",225,1.394,266.1,22.9,1.996,10.89,278.7,0.685
"2012-08-05 12:00:00",226,1.677,260.4,12.64,2.215,10.89,258.1,0.685
"2012-08-05 12:05:00",227,1.952,263.6,20.61,2.747,10.94,259.1,0.685
"2012-08-05 12:10:00",228,1.715,256.8,26.53,2.597,11.09,294.4,0.685
"2012-08-05 12:15:00",229,1.557,247,28.2,2.172,11.37,315,0.685
"2012-08-05 12:20:00",230,1.971,254.3,12.23,2.61,11.4,277.8,0.685
"2012-08-05 12:25:00",231,1.805,245.1,24.74,2.483,11.15,263.6,0.685
"2012-08-05 12:30:00",232,1.695,230.9,16.57,2.146,11.05,278.9,0.685
"2012-08-05 12:35:00",233,2.001,252.8,14.92,2.76,11.38,253.5,0.685
"2012-08-05 12:40:00",234,1.934,242.5,10.33,2.359,11.45,291.8,0.685
"2012-08-05 12:45:00",235,2.068,257.4,14.14,2.404,11.39,430.3,0.685
"2012-08-05 12:50:00",236,1.843,243.2,20.35,2.568,11.83,476.1,0.685
"2012-08-05 12:55:00",237,1.916,249.9,19.91,2.362,12.11,673.2,0.685
"2012-08-05 13:00:00",238,2.652,272.6,19.74,3.146,12.35,718.6,0.685
"2012-08-05 13:05:00",239,2.17,261.4,16.37,3.031,12.13,489.7,0.685
"2012-08-05 13:10:00",240,1.824,250.9,9.01,2.342,12.03,556.8,0.685
"2012-08-05 13:15:00",241,1.907,268.2,19.61,2.979,12.35,628.3,0.685
"2012-08-05 13:20:00",242,1.822,245.5,15.03,2.332,12.31,568,0.685
"2012-08-05 13:25:00",243,1.782,253.5,18.87,2.225,12.51,631.4,0.685
"2012-08-05 13:30:00",244,1.732,281.2,30.41,2.509,12.79,657.3,0.685
"2012-08-05 13:35:00",245,1.564,275.9,29.87,2.068,12.73,586.2,0.685
"2012-08-05 13:40:00",246,1.819,296.5,23.96,2.254,12.62,579.6,0.685
"2012-08-05 13:45:00",247,1.636,304.6,30.46,2.002,12.71,544.5,0.685
"2012-08-05 13:50:00",248,1.594,302,21.82,1.953,13.08,546.4,0.685
"2012-08-05 13:55:00",249,1.999,316.8,11.86,2.679,12.95,553.8,0.685
"2012-08-05 14:00:00",250,2.105,306.8,16.07,2.551,12.71,563.2,0.685
"2012-08-05 14:05:00",251,1.796,317.8,23.42,2.283,12.93,567.1,0.685
"2012-08-05 14:10:00",252,1.814,322.4,20.23,2.185,13.16,554.6,0.685
"2012-08-05 14:15:00",253,1.785,310.5,14.08,2.016,13.1,564.1,0.685
"2012-08-05 14:20:00",254,1.531,332.2,25.16,1.976,13.08,508,0.685
"2012-08-05 14:25:00",255,1.814,321.4,14.6,2.12,13.18,559.4,0.685
"2012-08-05 14:30:00",256,1.682,311.7,15.24,2.182,13.17,552.9,0.685
"2012-08-05 14:35:00",257,1.46,291.4,23.65,1.839,13.33,560.6,0.685
"2012-08-05 14:40:00",258,2.124,282.3,10.42,2.443,13.21,592.9,0.685
"2012-08-05 14:45:00",259,2.216,277.7,17.61,2.835,13.12,483.3,0.685
"2012-08-05 14:50:00",260,2.107,264.2,10.99,2.741,13.17,634,0.685
"2012-08-05 14:55:00",261,2.305,258,10.2,2.636,13.55,639.3,0.685
"2012-08-05 15:00:00",262,2.382,272.3,23.74,3.012,13.75,625.6,0.685
"2012-08-05 15:05:00",263,2.822,269.9,14.71,3.156,13.78,754.8,0.685
"2012-08-05 15:10:00",264,2.439,255.2,14.05,3.185,13.86,444,0.685
"2012-08-05 15:15:00",265,2.477,228.5,12.93,3.273,13.72,290.1,0.685
"2012-08-05 15:20:00",266,2.121,246,18.38,3.27,13.3,238.7,0.685
"2012-08-05 15:25:00",267,2.406,249.8,22.95,3.087,13.34,236.8,0.685
"2012-08-05 15:30:00",268,2.427,256.4,10.96,3.103,13.51,242.9,0.685
"2012-08-05 15:35:00",269,1.88,262.5,14.85,2.43,13.67,270.3,0.685
"2012-08-05 15:40:00",270,1.966,258.6,12.36,2.362,13.64,275,0.685
"2012-08-05 15:45:00",271,2.315,250.1,12.37,2.813,13.71,261.1,0.685
"2012-08-05 15:50:00",272,1.993,241.1,10.84,2.581,13.75,240.6,0.685
"2012-08-05 15:55:00",273,1.9,242.3,22.56,2.61,13.74,259.8,0.685
"2012-08-05 16:00:00",274,1.758,240.6,11.05,2.479,13.98,321.8,0.685
"2012-08-05 16:05:00",275,1.877,237,12.91,2.473,14.26,375.4,0.685
"2012-08-05 16:10:00",276,2.048,245,12.24,2.558,14.22,348.2,0.685
"2012-08-05 16:15:00",277,2.35,244,16.95,2.878,13.97,285.9,0.685
"2012-08-05 16:20:00",278,2.933,240.7,11.63,3.446,13.71,295.8,0.685
"2012-08-05 16:25:00",279,2.325,248.8,15.02,2.891,13.76,252.1,0.685
"2012-08-05 16:30:00",280,2.004,247.7,19.79,2.682,13.84,218.6,0.685
"2012-08-05 16:35:00",281,2.53,249.1,8.59,3.028,13.63,190.1,0.685
"2012-08-05 16:40:00",282,2.337,248.1,22.02,2.901,13.61,178.5,0.685
"2012-08-05 16:45:00",283,2.011,244.6,9.51,2.747,13.63,165.2,0.685
"2012-08-05 16:50:00",284,2.261,234.9,15.47,2.653,13.73,160.6,0.685
"2012-08-05 16:55:00",285,1.777,242.3,15.75,2.499,13.82,151.7,0.685
"2012-08-05 17:00:00",286,1.903,253.2,14.07,2.31,13.72,150.2,0.685
"2012-08-05 17:05:00",287,2.256,252.8,15.79,3.303,13.51,168.1,0.685
"2012-08-05 17:10:00",288,2.002,238.9,16.94,2.747,13.54,159.2,0.685
"2012-08-05 17:15:00",289,2.602,243.3,17.57,3.508,13.46,193.9,0.685
"2012-08-05 17:20:00",290,2.832,234.6,18.87,3.512,13.52,214.5,0.685
"2012-08-05 17:25:00",291,2.494,247.1,10.31,3.44,13.45,209.2,0.685
"2012-08-05 17:30:00",292,2.375,234,21.3,3.851,13.5,191.9,0.685
"2012-08-05 17:35:00",293,2.669,244.8,14.32,3.525,13.67,169.1,0.685
"2012-08-05 17:40:00",294,2.606,240.7,18.59,3.949,13.58,172.3,0.685
"2012-08-05 17:45:00",295,3.134,268.5,15.28,4.403,13.61,166.4,0.685
"2012-08-05 17:50:00",296,2.987,257.6,15.98,4.76,13.78,159.2,0.685
"2012-08-05 17:55:00",297,2.224,276.4,17.7,3.688,13.76,154.4,0.685
"2012-08-05 18:00:00",298,3.114,239.3,12.44,4.361,13.69,156.2,0.685
"2012-08-05 18:05:00",299,2.578,266,17.34,3.09,13.57,138.2,0.685
"2012-08-05 18:10:00",300,1.808,265.7,27.44,3.146,13.52,165.2,0.685
"2012-08-05 18:15:00",301,2.158,265.2,23.69,3.263,13.82,177.6,0.685
"2012-08-05 18:20:00",302,2.384,251.7,14.29,2.992,14.04,205,0.685
"2012-08-05 18:25:00",303,1.883,261.6,21.84,3.025,13.96,213,0.685
"2012-08-05 18:30:00",304,2.341,252,12.45,3.623,14.11,255.3,0.685
"2012-08-05 18:35:00",305,2.168,269.2,13.72,2.633,14.22,195.2,0.685
"2012-08-05 18:40:00",306,1.859,267.1,11.88,2.365,14.07,159.8,0.685
"2012-08-05 18:45:00",307,2.287,271.9,27.37,3.133,13.84,144.1,0.685
"2012-08-05 18:50:00",308,2.524,260.1,16.82,3.42,14.09,241.9,0.685
"2012-08-05 18:55:00",309,2.651,254.8,16.22,3.822,14.43,217.9,0.685
"2012-08-05 19:00:00",310,2.238,267.4,13.12,2.943,14.55,138.6,0.685
"2012-08-05 19:05:00",311,2.286,257.3,19.66,2.92,14.39,120,0.685
