"TOA5","4342","CR1000","4342","CR1000.Std.10","CRD:Duke_River_May2011.CR1","51102","FiveMin"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","AirTC_Avg","NR_Wm2_Avg","RH_Avg"
"TS","RN","meters/second","Deg","Deg","meters/second","Deg C","W/m²","%"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg"
"2011-05-14 11:35:00",0,0.469,146.5,8.02,0.706,-3.558,73.84,98.1
"2011-05-14 11:40:00",1,0.526,152.9,40.68,2.623,-3.99,83.6,94.5
"2011-05-14 11:45:00",2,0.592,102.6,22.88,1.297,-4.169,77.59,95.6
"2011-05-14 11:50:00",3,0.356,99,6.815,0.787,-4.464,87.6,95.6
"2011-05-14 11:55:00",4,0.208,73.76,10.53,0.644,-3.455,87.2,98
"2011-05-14 12:00:00",5,0.238,94.8,24.39,0.738,-3.431,92.3,96.8
"2011-05-14 12:05:00",6,0.845,83.9,22.82,1.865,-3.762,88.1,94.9
"2011-05-14 12:10:00",7,0.776,97.4,23.97,1.578,-5.011,84.7,93.6
"2011-05-14 12:15:00",8,0.389,74.3,11.95,0.924,-4.719,102.5,95.9
"2011-05-14 12:20:00",9,0.646,53.29,14.19,1.437,-4.741,96.2,95.3
"2011-05-14 12:25:00",10,0.081,64.36,65.36,0.304,-4.142,107.3,98.1
"2011-05-14 12:30:00",11,0.459,145.4,29.04,1.584,-2.688,103.5,99.8
"2011-05-14 12:35:00",12,0.704,107.7,20.64,0.951,-3.34,107.6,95.1
"2011-05-14 12:40:00",13,1.275,101.9,31.23,2.293,-4.633,89.8,91.7
"2011-05-14 12:45:00",14,1.868,99.3,18.58,3.316,-6.026,97.7,90.6
"2011-05-14 12:50:00",15,2.145,99.9,22.24,2.999,-6.663,111.9,92.3
"2011-05-14 12:55:00",16,1.166,123.3,18.87,2.205,-6.336,109.4,94.9
"2011-05-14 13:00:00",17,1.336,83.9,14.75,1.761,-5.911,90.5,94.1
"2011-05-14 13:05:00",18,1.158,73.6,22.8,2.035,-6.259,103.1,92.8
"2011-05-14 13:10:00",19,1.437,148.6,30.12,4.005,-5.259,121.4,95.8
"2011-05-14 13:15:00",20,2.526,152.2,22.65,3.74,-5.439,145.6,93.3
"2011-05-14 13:20:00",21,1.452,144.5,35.01,2.251,-5.108,123.3,94.5
"2011-05-14 13:25:00",22,2.817,119,12.45,3.701,-5.743,119.6,91.4
"2011-05-14 13:30:00",23,3.21,127.6,12.26,3.933,-6.756,131.3,92.4
"2011-05-14 13:35:00",24,3.507,122.2,11.88,4.083,-7.008,124.3,93.3
"2011-05-14 13:40:00",25,2.874,110.2,25.62,3.721,-7.041,98.7,94.2
"2011-05-14 13:45:00",26,3.03,128.1,14.81,4.511,-6.944,113.4,94.3
"2011-05-14 13:50:00",27,3.998,132.6,15.9,4.521,-6.947,173.3,93.9
"2011-05-14 13:55:00",28,4.228,128.8,11.47,5.269,-7.048,158.6,93.7
"2011-05-14 14:00:00",29,4.869,131.5,7.252,5.348,-7.041,155.4,93.7
"2011-05-14 14:05:00",30,5.174,128,8.92,5.726,-7.089,159.7,93.8
"2011-05-14 14:10:00",31,5.493,132.1,5.648,6.517,-7.162,135.8,94
"2011-05-14 14:15:00",32,5.58,127.5,6.879,5.998,-7.192,156.9,93.8
"2011-05-14 14:20:00",33,5.762,126.4,7.031,6.834,-7.253,153.3,93.7
"2011-05-14 14:25:00",34,5.076,131,5.806,5.726,-7.125,162.1,94
"2011-05-14 14:30:00",35,4.39,123.9,6.185,5.132,-7.044,169.2,93.4
"2011-05-14 14:35:00",36,4.665,127.1,5.794,5.25,-7.128,134.9,93.3
"2011-05-14 14:40:00",37,4.071,128,6.784,4.828,-7.135,131.7,93.6
"2011-05-14 14:45:00",38,4.18,131.5,7.483,5.204,-7.037,130.5,93.4
"2011-05-14 14:50:00",39,3.182,137.9,12.33,3.701,-6.638,159,93.3
"2011-05-14 14:55:00",40,4.08,122.6,8.75,4.9,-6.8,154.9,92
"2011-05-14 15:00:00",41,3.636,128.4,6.682,4.554,-6.917,154.7,92.4
"2011-05-14 15:05:00",42,3.472,131.1,9.44,4.524,-6.877,156.5,92.3
"2011-05-14 15:10:00",43,2.923,148,9.79,3.469,-6.569,135,92.6
"2011-05-14 15:15:00",44,2.798,157,11.2,3.107,-5.684,157.3,94.1
"2011-05-14 15:20:00",45,3.307,136.8,9.65,4.028,-5.946,156.4,89.3
"2011-05-14 15:25:00",46,3.589,139.9,5.093,4.315,-6.434,172.2,90.2
"2011-05-14 15:30:00",47,3.995,137.9,10.62,4.645,-6.478,162.5,90.6
"2011-05-14 15:35:00",48,4.061,134.4,5.819,4.528,-6.671,162.1,90.6
"2011-05-14 15:40:00",49,3.749,136.7,8.49,4.475,-6.563,168.1,90.2
"2011-05-14 15:45:00",50,3.216,131.3,11.76,3.75,-6.535,131.5,90.4
"2011-05-14 15:50:00",51,2.295,143.5,11.21,2.953,-6.132,147.1,90.9
"2011-05-14 15:55:00",52,2.647,147.2,6.137,3.486,-5.611,151.5,90.4
"2011-05-14 16:00:00",53,3.319,143,12.42,4.155,-5.5,166.8,88.5
"2011-05-14 16:05:00",54,3.895,137.1,8.44,4.358,-6.146,138.4,87
"2011-05-14 16:10:00",55,3.686,145.5,7.803,4.501,-6.275,158.3,89
"2011-05-14 16:15:00",56,3.226,137.6,11.24,3.721,-6.007,141.8,88.2
"2011-05-14 16:20:00",57,4.001,127.2,6.942,4.665,-6.386,144.9,87.3
"2011-05-14 16:25:00",58,4.206,136.5,6.254,4.639,-6.494,155.8,88
"2011-05-14 16:30:00",59,4.879,125.2,4.757,5.351,-6.571,111.6,87.4
"2011-05-14 16:35:00",60,4.897,123.1,8.44,6.197,-6.777,92.5,88.2
"2011-05-14 16:40:00",61,5.284,125.4,5.502,5.589,-6.755,125.1,87.8
"2011-05-14 16:45:00",62,4.775,126.1,5.756,5.478,-6.603,125.8,86.8
"2011-05-14 16:50:00",63,4.833,130,7.391,5.485,-6.616,107.3,86.2
"2011-05-14 16:55:00",64,4.713,131.9,6.541,5.37,-6.618,91.2,86.1
"2011-05-14 17:00:00",65,4.638,131.5,4.814,4.88,-6.65,45.34,85.3
"2011-05-14 17:05:00",66,4.419,134.3,3.86,4.838,-6.738,61.47,85.3
"2011-05-14 17:10:00",67,4.541,136.6,7.282,5.132,-6.625,64.99,84.9
"2011-05-14 17:15:00",68,4.874,136.8,6.932,5.746,-6.71,34.26,84.4
"2011-05-14 17:20:00",69,4.757,133.9,4.301,5.439,-6.812,15.51,84.4
"2011-05-14 17:25:00",70,5.154,128.7,5.251,5.39,-6.93,16.49,83.9
"2011-05-14 17:30:00",71,4.969,135.5,3.594,5.478,-6.745,65.02,83.4
"2011-05-14 17:35:00",72,4.678,135.7,7.922,5.201,-6.475,89.2,82.2
"2011-05-14 17:40:00",73,4.746,138.5,5.97,5.602,-6.377,76.36,81.8
"2011-05-14 17:45:00",74,4.583,133.3,5.12,4.936,-6.367,72.87,80.7
"2011-05-14 17:50:00",75,4.726,132.6,5.598,5.256,-6.362,67.77,80.1
"2011-05-14 17:55:00",76,4.401,127.3,3.509,5.312,-6.416,87.4,80.1
"2011-05-14 18:00:00",77,5.039,121,7.054,5.534,-6.409,97.1,79.89
"2011-05-14 18:05:00",78,4.792,120.3,9.44,5.586,-6.325,104.7,79.37
"2011-05-14 18:10:00",79,5.059,131.1,8.59,5.936,-6.196,99.1,78.03
"2011-05-14 18:15:00",80,5.237,129.7,3.952,5.674,-6.205,92.8,77.65
"2011-05-14 18:20:00",81,4.858,133.6,5.465,5.455,-6.194,82.6,76.35
"2011-05-14 18:25:00",82,4.563,133.5,7.971,5.253,-6.16,75.48,75.62
"2011-05-14 18:30:00",83,3.909,134,6.902,4.227,-6.044,74.38,74.51
"2011-05-14 18:35:00",84,3.252,141.1,11.44,3.597,-5.783,63.17,74.05
"2011-05-14 18:40:00",85,3.215,141.9,15.05,4.305,-5.029,61.91,70.77
"2011-05-14 18:45:00",86,3.74,130.3,5.738,4.57,-5.841,51.4,72.89
"2011-05-14 18:50:00",87,2.618,132.1,6.23,3.263,-5.81,36.75,74.13
"2011-05-14 18:55:00",88,1.596,171.6,32.08,2.176,-4.719,39.59,70.62
"2011-05-14 19:00:00",89,1.497,212.6,17.14,2.166,-4.685,37.43,67.82
"2011-05-14 19:05:00",90,1.029,230.4,41.42,1.718,-5.186,29.13,70.6
"2011-05-14 19:10:00",91,0.422,128.7,58.69,1.245,-4.291,17.55,69.79
"2011-05-14 19:15:00",92,1.134,158.8,25.75,2.332,-2.904,18.55,61.84
"2011-05-14 19:20:00",93,2.209,145.4,14.73,3.123,-4.159,24.91,64.33
"2011-05-14 19:25:00",94,2.197,155,12.49,2.594,-4.485,24.83,65.8
"2011-05-14 19:30:00",95,2.079,171.1,18.3,2.976,-4.217,15.01,63.23
"2011-05-14 19:35:00",96,2.701,141,12.82,3.505,-5.449,12.74,70.25
"2011-05-14 19:40:00",97,1.83,168.2,11.27,2.558,-4.662,8.57,67.52
"2011-05-14 19:45:00",98,3.109,153.2,10.49,3.554,-4.792,13.6,64.9
"2011-05-14 19:50:00",99,2.573,138.1,12.03,3.257,-5.461,-6.912,67.94
"2011-05-14 19:55:00",100,3.16,147.2,7.957,4.025,-5.797,-1.332,70.47
"2011-05-14 20:00:00",101,2.702,154.8,9.8,3.476,-5.795,-11.19,71.79
"2011-05-14 20:05:00",102,2.161,156.1,16.8,3.022,-5.386,-11.71,71.71
"2011-05-14 20:10:00",103,1.925,195.9,24.81,2.679,-5.446,-17.42,69.12
"2011-05-14 20:15:00",104,2.84,204.2,11.22,3.659,-6.416,-11.66,73.19
"2011-05-14 20:20:00",105,2.289,208.4,8.52,3.058,-6.451,-19.68,74.42
"2011-05-14 20:25:00",106,2.588,204.2,8.85,3.028,-6.846,-16.41,74.14
"2011-05-14 20:30:00",107,2.077,201.8,14.85,2.888,-6.705,-30.24,74.51
"2011-05-14 20:35:00",108,2.639,202.4,7.906,3.224,-6.524,-25.14,69.77
"2011-05-14 20:40:00",109,2.804,199.4,5.496,3.25,-7.123,-41.15,75.97
"2011-05-14 20:45:00",110,2.842,203.5,4.355,3.12,-7.562,-46.16,78.26
"2011-05-14 20:50:00",111,3.027,201.2,5.527,3.342,-7.461,-54.45,76.19
"2011-05-14 20:55:00",112,2.473,206,8.32,2.94,-7.52,-56.94,76.73
"2011-05-14 21:00:00",113,2.302,205.3,8.51,2.636,-7.151,-55.51,71.34
"2011-05-14 21:05:00",114,2.596,194.2,8.29,3.129,-7.379,-58.7,71.63
"2011-05-14 21:10:00",115,2.483,193.3,5.122,3.342,-7.354,-59.11,68.2
"2011-05-14 21:15:00",116,2.137,186.9,8.96,2.607,-7.08,-54.31,64.85
"2011-05-14 21:20:00",117,2.396,187.9,5.651,2.871,-6.818,-51.42,64.11
"2011-05-14 21:25:00",118,1.612,202.5,9.1,2.198,-6.663,-47.02,61.38
"2011-05-14 21:30:00",119,1.18,206.2,12.99,1.806,-6.168,-43.6,59.99
"2011-05-14 21:35:00",120,1.026,240.5,21.92,1.346,-6.073,-43.75,60.94
"2011-05-14 21:40:00",121,1.256,206.2,26.36,1.643,-6.01,-44,60.32
"2011-05-14 21:45:00",122,1.806,176.9,9.76,2.048,-5.988,-47.05,59.94
"2011-05-14 21:50:00",123,1.648,160.8,7.686,1.973,-6.049,-52.7,59.95
"2011-05-14 21:55:00",124,0.481,198.8,14.88,0.836,-6.276,-51.4,59.91
"2011-05-14 22:00:00",125,0.756,263.6,14.5,1.179,-6.623,-50.44,64.04
"2011-05-14 22:05:00",126,0.108,265.8,5.294,0.408,-6.931,-49.71,68.85
"2011-05-14 22:10:00",127,0.071,233.8,0.379,0.379,-7.105,-48.68,68.15
"2011-05-14 22:15:00",128,0.229,186.8,28.48,0.624,-7.293,-49.18,64.18
"2011-05-14 22:20:00",129,0.829,183.4,15.01,1.101,-7.396,-52.93,62.17
"2011-05-14 22:25:00",130,1.099,210.4,7.355,1.401,-7.273,-54.42,55.44
"2011-05-14 22:30:00",131,0.68,176.2,26.45,0.791,-7.116,-51.93,57.1
"2011-05-14 22:35:00",132,0.179,147.4,10.76,0.617,-7.465,-48.79,60.05
"2011-05-14 22:40:00",133,0.385,268.9,9.87,0.787,-7.682,-47.28,63.46
"2011-05-14 22:45:00",134,0.512,249.4,6.928,0.771,-7.531,-48.97,65.65
"2011-05-14 22:50:00",135,0.272,264.3,14.19,0.555,-7.311,-47.51,63.63
"2011-05-14 22:55:00",136,0.274,66.12,21.25,0.568,-7.276,-47.41,64.36
"2011-05-14 23:00:00",137,0.108,82,2.667,0.467,-7.543,-45.65,66.57
"2011-05-14 23:05:00",138,0.321,157.4,16.37,0.791,-7.881,-47.77,64.98
"2011-05-14 23:10:00",139,0.508,156.1,12.05,0.657,-7.8,-48.77,64.64
"2011-05-14 23:15:00",140,0,169.9,0.006,0.003,-7.845,-45.3,67.11
"2011-05-14 23:20:00",141,0.136,253.5,1.601,0.457,-7.684,-45.63,60.28
"2011-05-14 23:25:00",142,0.762,262.6,7.074,1.062,-7.442,-47.26,54.25
"2011-05-14 23:30:00",143,0.8,260.5,10.15,0.973,-7.281,-47.06,54.17
"2011-05-14 23:35:00",144,1.179,261.3,9.32,1.45,-7.079,-47.49,53.12
"2011-05-14 23:40:00",145,0.885,277.8,8.65,1.065,-6.899,-44.75,51.37
"2011-05-14 23:45:00",146,0.539,287.4,18.68,0.931,-6.986,-44.88,51.21
"2011-05-14 23:50:00",147,0.189,263,12.79,0.49,-7.105,-43.55,51.35
"2011-05-14 23:55:00",148,0.007,255.9,0,0.072,-7.19,-41.13,51.02
"2011-05-15 00:00:00",149,0.091,284.8,4.672,0.372,-7.237,-40,50.79
"2011-05-15 00:05:00",150,0.062,235,0.025,0.32,-7.16,-38.59,48.97
"2011-05-15 00:10:00",151,0,0,0,0,-7.33,-39.52,49.41
"2011-05-15 00:15:00",152,0.017,213.5,4.665,0.134,-7.491,-39.07,49.54
"2011-05-15 00:20:00",153,0,0,0,0,-7.397,-35.8,49.59
"2011-05-15 00:25:00",154,0,0,0,0,-7.533,-36.48,50.22
"2011-05-15 00:30:00",155,0,0,0,0,-7.61,-42.22,52.94
"2011-05-15 00:35:00",156,0,0,0,0,-7.436,-38.02,53.1
"2011-05-15 00:40:00",157,0.417,177.5,7.055,0.882,-7.567,-42.57,53.15
"2011-05-15 00:45:00",158,0.935,197.9,9.78,1.15,-7.492,-44.86,50.86
"2011-05-15 00:50:00",159,0.51,178.3,14.81,0.768,-7.358,-42.22,51.52
"2011-05-15 00:55:00",160,0.905,209.1,4.158,1.058,-7.155,-43.86,48.1
"2011-05-15 01:00:00",161,0.486,207.3,7.769,0.764,-6.827,-39.28,46.35
"2011-05-15 01:05:00",162,0.408,200.3,8.65,0.546,-6.745,-37.97,46.37
"2011-05-15 01:10:00",163,0.082,196.6,5.728,0.359,-6.8,-35.4,47.41
"2011-05-15 01:15:00",164,0,0,0,0,-7.048,-35.7,49.8
"2011-05-15 01:20:00",165,0.11,284.9,3.656,0.454,-7.283,-35.15,50.56
"2011-05-15 01:25:00",166,0,277.4,0,0.003,-7.3,-32.68,50.61
"2011-05-15 01:30:00",167,0.041,129.5,4.389,0.206,-7.427,-32.71,51.01
"2011-05-15 01:35:00",168,0.154,137.1,21.28,0.356,-7.584,-33.69,52.33
"2011-05-15 01:40:00",169,0.283,143.5,11.65,0.428,-7.573,-34.55,52.31
"2011-05-15 01:45:00",170,0.51,176.1,22.83,0.866,-7.553,-37.19,51.56
"2011-05-15 01:50:00",171,0.821,205.5,9.74,1.003,-7.249,-39.2,49.63
"2011-05-15 01:55:00",172,0.557,208.3,4.262,0.732,-6.909,-36.69,48.62
"2011-05-15 02:00:00",173,0.442,210.6,1.9,0.5,-6.766,-35.48,48.47
"2011-05-15 02:05:00",174,0.427,206.5,2.736,0.529,-6.702,-34.62,48.56
"2011-05-15 02:10:00",175,0.574,204.5,6.328,0.742,-6.684,-36.16,48.65
"2011-05-15 02:15:00",176,0.81,205.4,3.391,0.96,-6.684,-37.54,49.22
"2011-05-15 02:20:00",177,0.843,208.4,4.97,0.902,-6.658,-38.25,48.53
"2011-05-15 02:25:00",178,0.73,207,7.151,0.872,-6.589,-37.94,47.41
"2011-05-15 02:30:00",179,0.637,207.2,6.308,0.843,-6.585,-37.34,47
"2011-05-15 02:35:00",180,0.691,204.2,5.061,0.928,-6.585,-37.67,46.83
"2011-05-15 02:40:00",181,0.587,210.4,4.424,0.728,-6.61,-36.91,46.96
"2011-05-15 02:45:00",182,0.582,219.6,2.31,0.777,-6.669,-36.89,47.28
"2011-05-15 02:50:00",183,0.482,219.5,5.763,0.591,-6.71,-35.91,47.63
"2011-05-15 02:55:00",184,0.135,203.9,8.14,0.493,-6.764,-33.51,47.87
"2011-05-15 03:00:00",185,0.184,235.8,3.868,0.702,-6.894,-34.82,48.35
"2011-05-15 03:05:00",186,0.471,233,7.16,0.755,-6.951,-36.53,49.1
"2011-05-15 03:10:00",187,0.398,256.4,14.17,0.65,-6.869,-36.71,49.31
"2011-05-15 03:15:00",188,0.036,258,1.367,0.196,-6.924,-35.91,49.88
"2011-05-15 03:20:00",189,0.019,227.3,1.87,0.105,-7.135,-36.33,50.9
"2011-05-15 03:25:00",190,0.471,216.1,10.5,0.601,-7.208,-38.6,51.38
"2011-05-15 03:30:00",191,0.398,204.1,0.456,0.634,-6.971,-39.25,51.56
"2011-05-15 03:35:00",192,0.686,205.6,7.602,1.042,-6.811,-40.94,51.75
"2011-05-15 03:40:00",193,0.722,200.1,11.58,1.022,-6.78,-41.26,52.1
"2011-05-15 03:45:00",194,0.743,198.2,13.21,0.889,-6.851,-41.92,52.79
"2011-05-15 03:50:00",195,0.428,212.3,7.523,0.764,-6.863,-38.7,52.72
"2011-05-15 03:55:00",196,0.285,224.7,10.53,0.647,-6.822,-37.62,51.72
"2011-05-15 04:00:00",197,0,0,0,0,-6.962,-36.16,51.06
"2011-05-15 04:05:00",198,0.27,224.7,10.78,0.526,-7.053,-38.4,51.61
"2011-05-15 04:10:00",199,0.661,210.5,6.786,0.918,-7.014,-42.52,51.98
"2011-05-15 04:15:00",200,0.544,212.1,3.534,0.751,-6.902,-42.17,52.18
"2011-05-15 04:20:00",201,0.314,203.7,6.479,0.774,-6.795,-40.28,52.26
"2011-05-15 04:25:00",202,0.404,195.9,25.92,0.745,-6.825,-40.54,51.81
"2011-05-15 04:30:00",203,0.163,208,18.62,0.526,-7.024,-40.66,52.25
"2011-05-15 04:35:00",204,0.438,248.7,8.6,0.689,-7.27,-43.1,53.43
"2011-05-15 04:40:00",205,0.536,248.6,12.38,0.686,-7.303,-43.58,53.91
"2011-05-15 04:45:00",206,0.302,285.8,5.727,0.506,-7.276,-40.96,54.73
"2011-05-15 04:50:00",207,0.719,296.3,7.524,0.902,-7.378,-40.08,55.48
"2011-05-15 04:55:00",208,0.834,292.8,5.846,0.964,-7.404,-40.74,55.06
"2011-05-15 05:00:00",209,0.605,281.5,10.91,0.732,-7.534,-42.42,54.52
"2011-05-15 05:05:00",210,0.602,263.6,5.464,0.702,-7.559,-43.55,54.89
"2011-05-15 05:10:00",211,0.393,286.1,6.244,0.48,-7.408,-41.79,54.95
"2011-05-15 05:15:00",212,0.392,275.2,6.63,0.529,-7.35,-41.97,53.53
"2011-05-15 05:20:00",213,0.007,288.2,0.004,0.069,-7.48,-42.85,54.7
"2011-05-15 05:25:00",214,0,0,0,0,-7.783,-44.18,57.21
"2011-05-15 05:30:00",215,0,0,0,0,-7.867,-41.52,57.49
"2011-05-15 05:35:00",216,0.221,190.8,8.85,0.369,-7.973,-42.07,57.38
"2011-05-15 05:40:00",217,0.108,161,15.8,0.346,-8,-41.06,57.48
"2011-05-15 05:45:00",218,0.601,169.4,25.86,1.094,-7.986,-45.01,56.91
"2011-05-15 05:50:00",219,0.852,193.2,14.37,1.169,-7.863,-47.66,55.64
"2011-05-15 05:55:00",220,0.835,203.1,3.836,0.954,-7.586,-48.06,54.08
"2011-05-15 06:00:00",221,0.673,209.1,2.536,0.738,-7.382,-46.9,53.43
"2011-05-15 06:05:00",222,0.574,210.4,4.713,0.712,-7.194,-45.02,53.06
"2011-05-15 06:10:00",223,0.109,207.1,0.482,0.291,-7.109,-42.22,53.17
"2011-05-15 06:15:00",224,0.252,167.4,16.47,0.732,-7.27,-42.02,52.99
"2011-05-15 06:20:00",225,0.372,192.5,9.33,0.595,-7.487,-40.59,52.58
"2011-05-15 06:25:00",226,0.555,195.5,5.982,0.663,-7.511,-44.61,52.55
"2011-05-15 06:30:00",227,0.628,190.8,5.329,0.879,-7.438,-45.19,53.17
"2011-05-15 06:35:00",228,0.816,209.1,11.53,1.14,-7.378,-44.74,53.58
"2011-05-15 06:40:00",229,0.295,217.4,3.186,0.846,-7.237,-41.34,53.42
"2011-05-15 06:45:00",230,0,0,0,0,-7.162,-38.62,53.53
"2011-05-15 06:50:00",231,0,0,0,0,-7.149,-40.39,54.02
"2011-05-15 06:55:00",232,0,0,0,0,-6.663,-64.49,52.48
"2011-05-15 07:00:00",233,0,0,0,0,-5.798,-59.31,49.74
"2011-05-15 07:05:00",234,0,0,0,0,-5.088,-58.35,47.39
"2011-05-15 07:10:00",235,0,0,0,0,-4.882,-57.42,46.24
"2011-05-15 07:15:00",236,0.046,260.6,0.102,0.291,-4.923,-57.75,45.86
"2011-05-15 07:20:00",237,0,0,0,0,-4.369,-57.44,45.07
"2011-05-15 07:25:00",238,0,0,0,0,-2.581,-54.7,40.54
"2011-05-15 07:30:00",239,0,0,0,0,-1.072,-57.59,34.88
"2011-05-15 07:35:00",240,0.08,241.3,0.02,0.248,-2.323,-56.01,37.08
"2011-05-15 07:40:00",241,0.041,236.6,2.597,0.193,-3.632,-55.8,40.66
"2011-05-15 07:45:00",242,0.315,242.5,8.11,0.438,-4.267,-53.28,42.43
"2011-05-15 07:50:00",243,0.574,262.3,9.05,0.751,-4.751,-52.5,43.51
"2011-05-15 07:55:00",244,0.668,288.1,11.83,0.781,-5.262,-54.08,45.36
"2011-05-15 08:00:00",245,0.435,267.5,16.9,0.546,-5.033,-50,45.37
"2011-05-15 08:05:00",246,0.47,214.3,20.62,0.572,-4.627,-47.86,44.81
"2011-05-15 08:10:00",247,0.482,195.5,11.37,1.169,-3.273,-44.04,42.04
"2011-05-15 08:15:00",248,1.017,212.6,7.387,1.339,-4.403,-37.85,46.97
"2011-05-15 08:20:00",249,0.858,197.9,4.438,1.042,-4.544,-35.31,46.96
"2011-05-15 08:25:00",250,0.95,199.1,4.529,1.091,-4.281,-31.01,45.91
"2011-05-15 08:30:00",251,1.23,202,4.292,1.343,-4.431,-24.59,46.94
"2011-05-15 08:35:00",252,1.008,209.2,2.772,1.225,-4.958,-26.23,48.41
"2011-05-15 08:40:00",253,0.454,222.4,5.038,0.902,-4.662,-30.32,47.69
"2011-05-15 08:45:00",254,0.084,174.2,1.309,0.359,-3.086,-25.12,43.07
"2011-05-15 08:50:00",255,0.853,205.9,9.81,0.996,-2.302,-14.91,42.22
"2011-05-15 08:55:00",256,1.041,216.6,4.117,1.277,-3.974,-11.41,49.07
"2011-05-15 09:00:00",257,1.313,207.7,8.69,1.503,-4.771,-3.268,52.15
"2011-05-15 09:05:00",258,0.967,194.6,5.907,1.215,-4.414,-6.109,49.52
"2011-05-15 09:10:00",259,1.274,193.3,4.014,1.601,-3.682,5.656,48.3
"2011-05-15 09:15:00",260,1.471,194.8,6.463,1.64,-4.059,11.82,49.86
"2011-05-15 09:20:00",261,1.82,211,3.125,2.1,-5.179,19.28,55.01
"2011-05-15 09:25:00",262,1.525,213.1,7.799,1.751,-5.603,12.97,57.87
"2011-05-15 09:30:00",263,0.781,223.1,9.79,1.284,-5.147,2.815,55.26
"2011-05-15 09:35:00",264,0.74,223.3,3.762,0.898,-4.438,5.982,52.98
"2011-05-15 09:40:00",265,0.464,220.9,15.3,1,-3.962,10.93,49.19
"2011-05-15 09:45:00",266,1.104,204.2,6.953,1.558,-3.524,27.73,49.04
"2011-05-15 09:50:00",267,1.089,208.3,4.07,1.287,-4.372,30.74,50.69
"2011-05-15 09:55:00",268,0.913,203.5,3.706,1.13,-4.202,31.29,49.34
"2011-05-15 10:00:00",269,0.74,205.1,1.83,1.052,-3.743,30.59,48.84
"2011-05-15 10:05:00",270,0.388,223.3,6.575,0.64,-3.423,29.59,46.45
"2011-05-15 10:10:00",271,0.583,209.1,8.24,1.153,-2.81,38.86,46.91
"2011-05-15 10:15:00",272,1.406,194.6,4.775,1.597,-3.113,61.96,48.89
"2011-05-15 10:20:00",273,1.24,191.1,3.796,1.545,-2.393,60.9,46.37
"2011-05-15 10:25:00",274,0.856,171,14.41,0.977,-1.022,52.43,42.05
"2011-05-15 10:30:00",275,0.74,160.3,6.447,0.898,0.48,48.06,35.66
"2011-05-15 10:35:00",276,0.677,156.7,7.665,0.882,0.93,48.26,36.55
"2011-05-15 10:40:00",277,0.637,150.6,4.828,0.794,1.094,51.55,35.32
"2011-05-15 10:45:00",278,1.069,144.3,13.7,1.62,0.261,60.9,36.28
"2011-05-15 10:50:00",279,1.065,118.1,5.255,1.343,-2.398,58.58,47.08
"2011-05-15 10:55:00",280,0.945,131.2,4.711,1.042,-3.497,65.06,50.61
"2011-05-15 11:00:00",281,0.9,144.9,9.21,1.098,-3.106,65.96,49.28
"2011-05-15 11:05:00",282,1.164,142.6,15.69,1.401,-2.662,74.93,48.38
"2011-05-15 11:10:00",283,1.681,158.3,8.56,2.019,-1.198,94.2,43.7
"2011-05-15 11:15:00",284,1.102,107.1,15.08,1.526,-2.15,66.99,47.7
"2011-05-15 11:20:00",285,1.047,115.5,9.82,1.225,-3.199,66.92,53.74
"2011-05-15 11:25:00",286,1.093,133.8,12.74,1.307,-3.193,74.18,53.76
"2011-05-15 11:30:00",287,1.526,120.8,8.46,1.725,-3.656,83.4,51.56
"2011-05-15 11:35:00",288,1.739,146.4,13.51,2.045,-3.524,104,50.38
"2011-05-15 11:40:00",289,1.65,137.7,12.89,1.806,-2.813,88.4,50.31
"2011-05-15 11:45:00",290,1.98,136.3,12.75,2.535,-2.957,96.9,51.17
"2011-05-15 11:50:00",291,2.668,114.6,10.62,3.005,-4.194,79.75,54.78
"2011-05-15 11:55:00",292,2.622,131,7.65,2.888,-4.522,99.5,57.8
"2011-05-15 12:00:00",293,2.128,136.7,12.04,2.61,-4.02,83.9,56.75
"2011-05-15 12:05:00",294,2.871,130.2,6.77,3.361,-4.004,105.1,56.38
"2011-05-15 12:10:00",295,2.776,136.2,5.376,3.299,-4.306,113.7,57.43
"2011-05-15 12:15:00",296,2.66,131.5,10.07,3.149,-4.178,109.7,56.52
"2011-05-15 12:20:00",297,3.721,128,6.543,4.194,-4.729,118.3,56.68
"2011-05-15 12:25:00",298,3.603,133.7,7.779,3.946,-4.775,127.3,56.86
"2011-05-15 12:30:00",299,3.664,138.1,10.67,4.109,-4.783,136.2,56.89
"2011-05-15 12:35:00",300,3.391,133.7,3.655,3.763,-4.533,126.5,56.84
"2011-05-15 12:40:00",301,3.715,138.4,7.243,3.904,-4.72,132.9,59.05
"2011-05-15 12:45:00",302,3.217,135.9,8.78,3.714,-4.396,125.6,57.93
"2011-05-15 12:50:00",303,3.019,132.6,5.628,3.557,-4.432,125.4,59.57
"2011-05-15 12:55:00",304,3.334,135.7,6.232,3.548,-4.49,142.5,60.29
"2011-05-15 13:00:00",305,3.009,142.2,5.527,3.332,-4.164,136.4,59.17
"2011-05-15 13:05:00",306,2.985,141,9.82,3.437,-4.198,146.9,59.67
"2011-05-15 13:10:00",307,2.438,141.1,8.64,3.283,-4.026,152,59.14
