TOA5,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_30JULY2016.CR1,35202,HalfHour
TIMESTAMP,RECORD,DT,BP,Rain_mm_Tot,,,
TS,RN,m,hPa(mb),mm,,,
,,Smp,Smp,Tot,,,
16-07-25 9:30,137,1.514,920,0,,,
16-07-25 10:00,138,1.504,920,0,,,
16-07-25 10:30,139,1.498,920,0,,,
16-07-25 11:00,140,1.517,920,0,,,
16-07-25 11:30,141,1.505,920,0,,,
16-07-25 12:00,142,1.51,920,0,,,
16-07-25 12:30,143,1.497,920,0,,,
16-07-25 13:00,144,1.512,920,0,,,
16-07-25 13:30,145,1.507,920,0,,,
16-07-25 14:00,146,1.508,920,0,,,
16-07-25 14:30,147,1.506,920,0,,,
16-07-25 15:00,148,1.511,920,0,,,
16-07-25 15:30,149,1.511,920,0,,,
16-07-25 16:00,150,1.51,920,0,,,
16-07-25 16:30,151,1.499,920,0,,,
16-07-25 17:00,152,1.499,920,0,,,
16-07-25 17:30,153,1.511,919,0,,,
16-07-25 18:00,154,1.514,919,0,,,
16-07-25 18:30,155,1.521,920,0,,,
16-07-25 19:00,156,1.509,920,0,,,
16-07-25 19:30,157,1.52,920,0,,,
16-07-25 20:00,158,1.512,920,0,,,
16-07-25 20:30,159,1.521,920,0,,,
16-07-25 21:00,160,1.522,921,0,,,
16-07-25 21:30,161,1.521,921,0,,,
16-07-25 22:00,162,1.528,921,0,,,
16-07-25 22:30,163,1.511,921,0,,,
16-07-25 23:00,164,1.522,921,0,,,
16-07-25 23:30,165,1.513,922,0,,,
16-07-26 0:00,166,1.514,922,0,,,
16-07-26 0:30,167,1.525,922,0,,,
16-07-26 1:00,168,1.526,922,0,,,
16-07-26 1:30,169,1.528,922,0,,,
16-07-26 2:00,170,1.524,922,0,,,
16-07-26 2:30,171,1.529,922,0,,,
16-07-26 3:00,172,1.515,922,0,,,
16-07-26 3:30,173,1.52,922,0,,,
16-07-26 4:00,174,1.526,922,0,,,
16-07-26 4:30,175,1.517,922,0,,,
16-07-26 5:00,176,1.529,923,0,,,
16-07-26 5:30,177,1.539,923,0,,,
16-07-26 6:00,178,1.531,922,0,,,
16-07-26 6:30,179,1.521,923,0,,,
16-07-26 7:00,180,1.523,923,0,,,
16-07-26 7:30,181,1.524,923,0,,,
16-07-26 8:00,182,1.529,923,0,,,
16-07-26 8:30,183,1.511,923,0,,,
16-07-26 9:00,184,1.523,923,0,,,
16-07-26 9:30,185,1.524,923,0,,,
16-07-26 10:00,186,1.526,923,0,,,
16-07-26 10:30,187,1.528,923,0,,,
16-07-26 11:00,188,1.527,923,0,,,
16-07-26 11:30,189,1.531,923,0,,,
16-07-26 12:00,190,1.523,923,0,,,
16-07-26 12:30,191,1.523,923,0,,,
16-07-26 13:00,192,1.503,922,0,,,
16-07-26 13:30,193,1.523,923,0,,,
16-07-26 14:00,194,1.522,922,0,,,
16-07-26 14:30,195,1.506,922,0,,,
16-07-26 15:00,196,1.514,922,0,,,
16-07-26 15:30,197,1.524,922,0,,,
16-07-26 16:00,198,1.525,922,0,,,
16-07-26 16:30,199,1.524,922,0,,,
16-07-26 17:00,200,1.519,922,0,,,
16-07-26 17:30,201,1.507,921,0,,,
16-07-26 18:00,202,1.516,921,0,,,
16-07-26 18:30,203,1.509,921,0,,,
16-07-26 19:00,204,1.51,922,0,,,
16-07-26 19:30,205,1.518,922,0,,,
16-07-26 20:00,206,1.511,922,0,,,
16-07-26 20:30,207,1.521,922,0,,,
16-07-26 21:00,208,1.521,922,0,,,
16-07-26 21:30,209,1.525,923,0,,,
16-07-26 22:00,210,1.53,923,0,,,
16-07-26 22:30,211,1.523,923,0,,,
16-07-26 23:00,212,1.516,924,0,,,
16-07-26 23:30,213,1.526,924,0,,,
16-07-27 0:00,214,1.522,924,0,,,
16-07-27 0:30,215,1.515,924,0,,,
16-07-27 1:00,216,1.52,925,0,,,
16-07-27 1:30,217,1.524,925,0,,,
16-07-27 2:00,218,1.509,925,0,,,
16-07-27 2:30,219,1.52,925,0,,,
16-07-27 3:00,220,1.53,925,0,,,
16-07-27 3:30,221,1.53,925,0,,,
16-07-27 4:00,222,1.522,925,0,,,
16-07-27 4:30,223,1.522,925,0,,,
16-07-27 5:00,224,1.526,925,0,,,
16-07-27 5:30,225,1.524,925,0,,,
16-07-27 6:00,226,1.52,925,0,,,
16-07-27 6:30,227,1.523,925,0,,,
16-07-27 7:00,228,1.519,925,0,,,
16-07-27 7:30,229,1.505,925,0,,,
16-07-27 8:00,230,1.526,925,0,,,
16-07-27 8:30,231,1.532,925,0,,,
16-07-27 9:00,232,1.532,925,0,,,
16-07-27 9:30,233,1.529,925,0,,,
16-07-27 10:00,234,1.528,925,0,,,
16-07-27 10:30,235,1.533,925,0,,,
16-07-27 11:00,236,1.51,925,0,,,
16-07-27 11:30,237,1.537,925,0,,,
16-07-27 12:00,238,1.525,925,0,,,
16-07-27 12:30,239,1.529,924,0,,,
16-07-27 13:00,240,1.507,924,0,,,
16-07-27 13:30,241,1.52,924,0,,,
16-07-27 14:00,242,1.527,924,0,,,
16-07-27 14:30,243,1.516,924,0,,,
16-07-27 15:00,244,1.517,923,0,,,
16-07-27 15:30,245,1.457,923,0,,,
16-07-27 16:00,246,1.505,923,0,,,
16-07-27 16:30,247,1.504,923,0,,,
16-07-27 17:00,248,1.51,922,0,,,
16-07-27 17:30,249,1.495,922,0,,,
16-07-27 18:00,250,1.514,922,0,,,
16-07-27 18:30,251,1.518,922,0,,,
16-07-27 19:00,252,1.521,922,0,,,
16-07-27 19:30,253,1.522,922,0,,,
16-07-27 20:00,254,1.525,922,0,,,
16-07-27 20:30,255,1.522,922,0,,,
16-07-27 21:00,256,1.524,922,0,,,
16-07-27 21:30,257,1.527,922,0,,,
16-07-27 22:00,258,1.525,922,0,,,
16-07-27 22:30,259,1.52,922,0,,,
16-07-27 23:00,260,1.527,922,0,,,
16-07-27 23:30,261,1.526,922,0,,,
16-07-28 0:00,262,1.532,923,0,,,
16-07-28 0:30,263,1.51,922,0,,,
16-07-28 1:00,264,1.527,922,0,,,
16-07-28 1:30,265,1.526,922,0,,,
16-07-28 2:00,266,1.53,922,0,,,
16-07-28 2:30,267,1.528,922,0,,,
16-07-28 3:00,268,1.528,922,0,,,
16-07-28 3:30,269,1.53,922,0,,,
16-07-28 4:00,270,1.517,922,0,,,
16-07-28 4:30,271,1.526,922,0,,,
16-07-28 5:00,272,1.521,922,0,,,
16-07-28 5:30,273,1.527,922,0,,,
16-07-28 6:00,274,1.516,922,0,,,
16-07-28 6:30,275,1.533,922,0,,,
16-07-28 7:00,276,1.528,922,0,,,
16-07-28 7:30,277,1.53,922,0,,,
16-07-28 8:00,278,1.537,922,0,,,
16-07-28 8:30,279,1.499,922,0,,,
16-07-28 9:00,280,1.528,921,0,,,
16-07-28 9:30,281,1.488,921,0,,,
16-07-28 10:00,282,1.493,921,0,,,
16-07-28 10:30,283,1.49,921,0,,,
16-07-28 11:00,284,1.489,921,0,,,
16-07-28 11:30,285,1.493,921,0,,,
16-07-28 12:00,286,1.51,921,0,,,
16-07-28 12:30,287,1.517,921,0,,,
16-07-28 13:00,288,1.5,921,0,,,
16-07-28 13:30,289,1.49,921,0,,,
16-07-28 14:00,290,1.494,921,0,,,
16-07-28 14:30,291,1.483,921,0,,,
16-07-28 15:00,292,1.477,921,0,,,
16-07-28 15:30,293,1.459,921,0,,,
16-07-28 16:00,294,1.483,921,0,,,
16-07-28 16:30,295,1.478,920,0,,,
16-07-28 17:00,296,1.484,921,0,,,
16-07-28 17:30,297,1.509,921,0,,,
16-07-28 18:00,298,1.523,921,0,,,
16-07-28 18:30,299,1.489,921,0,,,
16-07-28 19:00,300,1.504,921,0,,,
16-07-28 19:30,301,1.514,921,0,,,
16-07-28 20:00,302,1.519,922,0,,,
16-07-28 20:30,303,1.519,922,0,,,
16-07-28 21:00,304,1.516,922,0,,,
16-07-28 21:30,305,1.516,922,0,,,
16-07-28 22:00,306,1.522,923,0,,,
16-07-28 22:30,307,1.523,923,0,,,
16-07-28 23:00,308,1.521,923,0,,,
16-07-28 23:30,309,1.524,924,0,,,
16-07-29 0:00,310,1.523,924,0,,,
16-07-29 0:30,311,1.523,924,0,,,
16-07-29 1:00,312,1.524,924,0,,,
16-07-29 1:30,313,1.52,924,0,,,
16-07-29 2:00,314,1.508,924,0,,,
16-07-29 2:30,315,1.525,924,0,,,
16-07-29 3:00,316,1.523,924,0,,,
16-07-29 3:30,317,1.529,924,0,,,
16-07-29 4:00,318,1.53,925,0,,,
16-07-29 4:30,319,1.532,925,0,,,
16-07-29 5:00,320,1.529,925,0,,,
16-07-29 5:30,321,1.528,925,0,,,
16-07-29 6:00,322,1.52,925,0,,,
16-07-29 6:30,323,1.528,925,0,,,
16-07-29 7:00,324,1.532,925,0,,,
16-07-29 7:30,325,1.528,926,0,,,
16-07-29 8:00,326,1.529,926,0,,,
16-07-29 8:30,327,1.527,926,0,,,
16-07-29 9:00,328,1.532,926,0,,,
16-07-29 9:30,329,1.531,926,0,,,
16-07-29 10:00,330,1.526,926,0,,,
16-07-29 10:30,331,1.494,925,0,,,
16-07-29 11:00,332,1.525,926,0,,,
16-07-29 11:30,333,1.51,925,0,,,
16-07-29 12:00,334,1.508,925,0,,,
16-07-29 12:30,335,1.489,925,0,,,
16-07-29 13:00,336,1.497,925,0,,,
16-07-29 13:30,337,1.493,925,0,,,
16-07-29 14:00,338,1.489,924,0,,,
