TOA5,5264,CR1000,5264,CR1000.Std.10,CRD:KLRS_CMA6_13JULY2015.CR1,35202,HalfHour
TIMESTAMP,RECORD,DT,BP,Rain_mm_Tot,,,
TS,RN,m,hPa(mb),mm,,,
,,Smp,Smp,Tot,,,
15-07-23 5:00,121,1.567,911,0,,,
15-07-23 5:30,122,1.562,912,0,,,
15-07-23 6:00,123,1.562,912,0,,,
15-07-23 6:30,124,1.561,911,0,,,
15-07-23 7:00,125,1.564,911,0,,,
15-07-23 7:30,126,1.559,911,0,,,
15-07-23 8:00,127,1.577,911,0,,,
15-07-23 8:30,128,1.567,911,0,,,
15-07-23 9:00,129,1.567,911,0,,,
15-07-23 9:30,130,1.574,911,0,,,
15-07-23 10:00,131,1.543,911,0,,,
15-07-23 10:30,132,1.543,911,0,,,
15-07-23 11:00,133,1.55,911,0,,,
15-07-23 11:30,134,1.535,911,0,,,
15-07-23 12:00,135,1.542,911,0,,,
15-07-23 12:30,136,1.548,911,0,,,
15-07-23 13:00,137,1.539,910,0,,,
15-07-23 13:30,138,1.562,910,0,,,
15-07-23 14:00,139,1.539,910,0,,,
15-07-23 14:30,140,1.545,910,0,,,
15-07-23 15:00,141,1.553,910,0,,,
15-07-23 15:30,142,1.567,910,0,,,
15-07-23 16:00,143,1.573,910,0,,,
15-07-23 16:30,144,1.549,910,0,,,
15-07-23 17:00,145,1.535,910,0,,,
15-07-23 17:30,146,1.565,910,0,,,
15-07-23 18:00,147,1.56,910,0,,,
15-07-23 18:30,148,1.57,910,0,,,
15-07-23 19:00,149,1.562,910,0,,,
15-07-23 19:30,150,1.569,910,0,,,
15-07-23 20:00,151,1.561,910,0,,,
15-07-23 20:30,152,1.576,910,0,,,
15-07-23 21:00,153,1.529,911,0,,,
15-07-23 21:30,154,1.585,911,0.2,,,
15-07-23 22:00,155,1.512,911,0.1,,,
15-07-23 22:30,156,1.513,912,0,,,
15-07-23 23:00,157,1.51,912,0,,,
15-07-23 23:30,158,1.498,912,0,,,
15-07-24 0:00,159,1.499,912,0,,,
15-07-24 0:30,160,1.519,913,0.4,,,
15-07-24 1:00,161,1.523,913,0,,,
15-07-24 1:30,162,1.522,913,0,,,
15-07-24 2:00,163,1.508,914,0.1,,,
15-07-24 2:30,164,1.525,914,0,,,
15-07-24 3:00,165,1.594,914,0,,,
15-07-24 3:30,166,1.596,914,0,,,
15-07-24 4:00,167,1.595,914,0.1,,,
15-07-24 4:30,168,1.574,914,0,,,
15-07-24 5:00,169,1.57,914,0,,,
15-07-24 5:30,170,1.569,914,0,,,
15-07-24 6:00,171,1.566,915,0,,,
15-07-24 6:30,172,1.539,915,0,,,
15-07-24 7:00,173,1.54,915,0,,,
15-07-24 7:30,174,1.543,915,0,,,
15-07-24 8:00,175,1.551,915,0,,,
15-07-24 8:30,176,1.549,915,0,,,
15-07-24 9:00,177,1.573,916,0,,,
15-07-24 9:30,178,1.577,916,0,,,
15-07-24 10:00,179,1.56,916,0,,,
15-07-24 10:30,180,1.56,916,0,,,
15-07-24 11:00,181,1.565,916,0,,,
15-07-24 11:30,182,1.573,916,0,,,
15-07-24 12:00,183,1.565,916,0,,,
15-07-24 12:30,184,1.561,916,0,,,
15-07-24 13:00,185,1.568,917,0,,,
15-07-24 13:30,186,1.554,917,0,,,
15-07-24 14:00,187,1.535,917,0,,,
15-07-24 14:30,188,1.554,916,0,,,
15-07-24 15:00,189,1.563,917,0,,,
15-07-24 15:30,190,1.588,917,0.3,,,
15-07-24 16:00,191,1.543,916,0,,,
15-07-24 16:30,192,1.536,916,0,,,
15-07-24 17:00,193,1.555,916,0,,,
15-07-24 17:30,194,1.527,917,0,,,
15-07-24 18:00,195,1.531,917,0,,,
15-07-24 18:30,196,1.543,916,0,,,
15-07-24 19:00,197,1.56,916,0,,,
15-07-24 19:30,198,1.551,916,0,,,
15-07-24 20:00,199,1.543,917,0,,,
15-07-24 20:30,200,1.569,917,0.3,,,
15-07-24 21:00,201,1.554,917,0,,,
15-07-24 21:30,202,1.551,917,0,,,
15-07-24 22:00,203,1.549,917,0,,,
15-07-24 22:30,204,1.554,917,0,,,
15-07-24 23:00,205,1.548,918,0,,,
15-07-24 23:30,206,1.552,918,0.2,,,
15-07-25 0:00,207,1.592,918,0,,,
15-07-25 0:30,208,1.598,918,0,,,
15-07-25 1:00,209,1.6,918,0,,,
15-07-25 1:30,210,1.605,918,0,,,
15-07-25 2:00,211,1.611,919,0,,,
15-07-25 2:30,212,1.606,919,0,,,
15-07-25 3:00,213,1.609,919,0,,,
15-07-25 3:30,214,1.613,919,0,,,
15-07-25 4:00,215,1.612,919,0,,,
15-07-25 4:30,216,1.61,919,0,,,
15-07-25 5:00,217,1.615,919,0,,,
15-07-25 5:30,218,1.616,919,0,,,
15-07-25 6:00,219,1.616,919,0,,,
15-07-25 6:30,220,1.601,920,0,,,
15-07-25 7:00,221,1.587,920,0,,,
15-07-25 7:30,222,1.596,920,0,,,
15-07-25 8:00,223,1.594,920,0,,,
15-07-25 8:30,224,1.599,920,0,,,
15-07-25 9:00,225,1.559,920,0,,,
15-07-25 9:30,226,1.555,920,0,,,
15-07-25 10:00,227,1.542,920,0,,,
15-07-25 10:30,228,1.529,920,0,,,
15-07-25 11:00,229,1.525,920,0,,,
15-07-25 11:30,230,1.537,920,0,,,
15-07-25 12:00,231,1.518,920,0,,,
15-07-25 12:30,232,1.535,920,0,,,
15-07-25 13:00,233,1.552,920,0,,,
15-07-25 13:30,234,1.546,919,0,,,
15-07-25 14:00,235,1.54,919,0,,,
15-07-25 14:30,236,1.53,919,0,,,
15-07-25 15:00,237,1.537,919,0,,,
15-07-25 15:30,238,1.524,918,0,,,
15-07-25 16:00,239,1.515,918,0,,,
15-07-25 16:30,240,1.517,918,0,,,
15-07-25 17:00,241,1.531,918,0,,,
