"Plot Title: H01"
"#","Date Time, GMT+00:00","H08 Temp., °C","H08 High Res. Temp., °C","GCap. RH, %"
118,07/13/12 00:00:43,4.15,4.07,73.40
119,07/13/12 00:30:43,3.31,3.15,81.10
120,07/13/12 01:00:43,3.74,3.68,75.40
121,07/13/12 01:30:43,4.15,3.97,71.90
122,07/13/12 02:00:43,4.15,4.18,69.40
123,07/13/12 02:30:43,4.15,4.21,68.90
124,07/13/12 03:00:43,3.74,3.86,71.40
125,07/13/12 03:30:43,4.15,4.05,70.40
126,07/13/12 04:00:43,4.15,4.13,71.40
127,07/13/12 04:30:43,3.31,3.50,75.80
128,07/13/12 05:00:43,2.03,2.06,84.30
129,07/13/12 05:30:43,2.89,2.99,79.70
130,07/13/12 06:00:43,2.46,2.33,83.40
131,07/13/12 06:30:43,2.89,2.73,80.10
132,07/13/12 07:00:43,2.89,2.76,80.60
133,07/13/12 07:30:43,2.89,2.94,79.70
134,07/13/12 08:00:43,3.31,3.29,79.20
135,07/13/12 08:30:43,2.89,3.07,77.30
136,07/13/12 09:00:43,2.89,2.94,80.10
137,07/13/12 09:30:43,3.74,3.55,76.80
138,07/13/12 10:00:43,2.89,2.84,83.40
139,07/13/12 10:30:43,3.31,3.52,75.80
140,07/13/12 11:00:43,3.31,3.39,77.30
141,07/13/12 11:30:43,3.31,3.44,80.10
142,07/13/12 12:00:43,3.31,3.39,79.70
143,07/13/12 12:30:43,4.15,4.10,74.90
144,07/13/12 13:00:43,4.99,4.88,69.40
145,07/13/12 13:30:43,4.99,5.09,68.40
146,07/13/12 14:00:43,4.99,5.16,68.40
147,07/13/12 14:30:43,4.99,4.96,68.90
