dtime,dtime,abs_pressure,temp_water,baro_pressure,water_level,end_elv,surf,melt_ice,bed_elv,ice_thick,wl_elv_flat,surf_flat,float_elv,lake_elv,float,sensr_elv_float,wl_elv_float,surf_float,wl_elv_gps1,surf_gps1,wl_elv_int,surf_int
2017-06-24 13:30:00,2017-06-24 13:30:00,206.525,2.088,83.7,12.526,1606.88,1615.72,0.0048073796592988825,1395.68,223.83419262034067,1619.4060000000002,1619.5141926203407,1599.3691152845101,1592.9695673627916,False,1606.88,1619.4060000000002,1619.5141926203407,1620.349064428045,1620.4572570483856,1619.4060000000002,1619.5141926203407
2017-06-24 13:40:00,2017-06-24 13:40:00,206.50099999999998,1.33,,12.524000000000001,1606.88,1615.72,0.005060684306638651,1395.68,223.83393931569321,1619.404,1619.5139393156933,1599.368884777281,1592.9673801469114,False,1606.88,1619.404,1619.5139393156933,1620.3470316502671,1620.4569709659602,1619.404,1619.5139393156933
2017-06-24 13:50:00,2017-06-24 13:50:00,206.46900000000002,0.893,,12.52,1606.88,1615.72,0.00526350831251569,1395.68,223.83373649168743,1619.4,1619.5137364916875,1599.3687002074357,1592.97629911298,False,1606.88,1619.4,1619.5137364916875,1620.3430154002672,1620.4567518919546,1619.4,1619.5137364916875
2017-06-24 14:00:00,2017-06-24 14:00:00,206.41299999999998,0.563,83.7,12.515,1606.88,1615.72,0.00541765455698224,1395.68,223.8335823454429,1619.3950000000002,1619.513582345443,1599.368559934353,1592.9816011112619,False,1606.88,1619.3950000000002,1619.513582345443,1620.3379104465637,1620.4564927920064,1619.3950000000002,1619.513582345443
2017-06-24 14:10:00,2017-06-24 14:10:00,206.437,0.45299999999999996,,12.517000000000001,1606.88,1615.72,0.00557180080144879,1395.68,223.83342819919858,1619.3970000000002,1619.5134281991986,1599.3684196612708,1592.9820193364412,False,1606.88,1619.3970000000002,1619.5134281991986,1620.339685955823,1620.4561141550214,1619.3970000000002,1619.5134281991986
2017-06-24 14:20:00,2017-06-24 14:20:00,206.39700000000002,0.34299999999999997,,12.513,1606.88,1615.72,0.005757497446829544,1395.68,223.83324250255305,1619.393,1619.513242502553,1599.3682506773234,1592.9874587804313,False,1606.88,1619.393,1619.513242502553,1620.3355078076747,1620.4557503102278,1619.393,1619.513242502553
2017-06-24 14:30:00,2017-06-24 14:30:00,206.389,0.23199999999999998,83.7,12.513,1606.88,1615.72,0.0059576171326282245,1395.68,223.83304238286723,1619.393,1619.5130423828673,1599.3680685684092,1592.9909423053962,False,1606.88,1619.393,1619.5130423828673,1620.3352904465637,1620.455332829431,1619.393,1619.5130423828673
2017-06-24 14:40:00,2017-06-24 14:40:00,206.34900000000002,0.121,,12.509,1606.88,1615.72,0.006155032498348542,1395.68,223.83284496750161,1619.3890000000001,1619.5128449675017,1599.3678889204266,1592.991742663971,False,1606.88,1619.3890000000001,1619.5128449675017,1620.3310824604525,1620.454927427954,1619.3890000000001,1619.5128449675017
2017-06-24 14:50:00,2017-06-24 14:50:00,206.317,0.121,,12.505,1606.88,1615.72,0.0063407291437292965,1395.68,223.8326592708563,1619.3850000000002,1619.5126592708564,1599.3677199364793,1592.995144936279,False,1606.88,1619.3850000000002,1619.5126592708564,1620.3269655623046,1620.4546248331608,1619.3850000000002,1619.5126592708564
2017-06-24 15:00:00,2017-06-24 15:00:00,206.317,0.121,83.7,12.505,1606.88,1615.72,0.006530932989240654,1395.68,223.8324690670106,1619.3850000000002,1619.512469067011,1599.3675468509798,1593.0014653593544,False,1606.88,1619.3850000000002,1619.512469067011,1620.3268492428601,1620.4543183098708,1619.3850000000002,1619.512469067011
2017-06-24 15:10:00,2017-06-24 15:10:00,206.27700000000002,0.01,,12.501,1606.88,1615.72,0.006716629634621409,1395.68,223.8322833703653,1619.381,1619.5122833703654,1599.3673778670325,1593.0062032378703,False,1606.88,1619.381,1619.5122833703654,1620.32264736786,1620.4539307382254,1619.381,1619.5122833703654
2017-06-24 15:20:00,2017-06-24 15:20:00,206.245,0.01,,12.498,1606.88,1615.72,0.006880691719375279,1395.68,223.83211930828065,1619.3780000000002,1619.5121193082807,1599.3672285705354,1593.0123617081208,False,1606.88,1619.3780000000002,1619.5121193082807,1620.3194411641564,1620.453560472437,1619.3780000000002,1619.5121193082807
2017-06-24 15:30:00,2017-06-24 15:30:00,206.21400000000003,0.01,83.7,12.495,1606.88,1615.72,0.0070492610042597525,1395.68,223.8319507389956,1619.375,1619.5119507389957,1599.367075172486,1593.0213143311205,False,1606.88,1619.375,1619.5119507389957,1620.3162817197117,1620.4532324587074,1619.375,1619.5119507389957
2017-06-24 15:40:00,2017-06-24 15:40:00,206.21400000000003,0.01,,12.495,1606.88,1615.72,0.007232253329562148,1395.68,223.83176774667027,1619.375,1619.5117677466706,1599.3669086494701,1593.0204025996943,False,1606.88,1619.375,1619.5117677466706,1620.316303178045,1620.4530709247156,1619.375,1619.5117677466706
