TimeStamp,"RECORD
RN","DT
m
Smp","BP
hPa(mb)
Smp","Rain_mm_Tot
mm
Tot"
9/6/2016 9:30,130,1.51,911,0
9/6/2016 10:00,131,1.51,911,0
9/6/2016 10:30,132,1.49,911,0
9/6/2016 11:00,133,1.47,910,0
9/6/2016 11:30,134,1.46,910,0
9/6/2016 12:00,135,1.51,910,0
9/6/2016 12:30,136,1.46,910,0
9/6/2016 13:00,137,1.5,910,0
9/6/2016 13:30,138,1.51,910,0
9/6/2016 14:00,139,1.47,909,0
9/6/2016 14:30,140,1.48,909,0
9/6/2016 15:00,141,1.49,909,0
9/6/2016 15:30,142,1.5,909,0
9/6/2016 16:00,143,1.5,909,0
9/6/2016 16:30,144,1.5,909,0
9/6/2016 17:00,145,1.49,909,0
9/6/2016 17:30,146,1.48,909,0
9/6/2016 18:00,147,1.5,909,0
9/6/2016 18:30,148,1.5,909,0
9/6/2016 19:00,149,1.5,909,0
9/6/2016 19:30,150,1.49,909,0
9/6/2016 20:00,151,1.5,909,0
9/6/2016 20:30,152,1.5,909,0
9/6/2016 21:00,153,1.51,910,0
9/6/2016 21:30,154,1.5,910,0
9/6/2016 22:00,155,1.48,910,0
9/6/2016 22:30,156,1.5,910,0
9/6/2016 23:00,157,1.5,911,0
9/6/2016 23:30,158,1.51,911,0
9/7/2016 0:00,159,1.51,911,0
9/7/2016 0:30,160,1.5,912,0
9/7/2016 1:00,161,1.52,912,0
9/7/2016 1:30,162,1.51,912,0
9/7/2016 2:00,163,1.52,912,0
9/7/2016 2:30,164,1.52,913,0
9/7/2016 3:00,165,1.52,913,0
9/7/2016 3:30,166,1.52,913,0
9/7/2016 4:00,167,1.52,913,0
9/7/2016 4:30,168,1.52,913,0
9/7/2016 5:00,169,1.52,914,0
9/7/2016 5:30,170,1.52,914,0
9/7/2016 6:00,171,1.52,914,0
9/7/2016 6:30,172,1.52,914,0
9/7/2016 7:00,173,1.52,915,0
9/7/2016 7:30,174,1.52,915,0
9/7/2016 8:00,175,1.52,915,0
9/7/2016 8:30,176,1.52,915,0
9/7/2016 9:00,177,1.52,916,0
9/7/2016 9:30,178,1.52,916,0
9/7/2016 10:00,179,1.51,916,0
9/7/2016 10:30,180,1.51,916,0
9/7/2016 11:00,181,1.5,916,0
9/7/2016 11:30,182,1.5,917,0
9/7/2016 12:00,183,1.5,917,0
9/7/2016 12:30,184,1.49,916,0
9/7/2016 13:00,185,1.49,916,0
9/7/2016 13:30,186,1.48,916,0
9/7/2016 14:00,187,1.47,916,0
9/7/2016 14:30,188,1.49,916,0
9/7/2016 15:00,189,1.5,916,0
9/7/2016 15:30,190,1.5,917,0
9/7/2016 16:00,191,1.49,917,0
9/7/2016 16:30,192,1.5,917,0
9/7/2016 17:00,193,1.5,923,1.3
9/7/2016 17:30,194,1.5,929,0
9/7/2016 18:00,195,1.5,929,0
9/7/2016 18:30,196,1.5,929,0
9/7/2016 19:00,197,1.5,928,0
9/7/2016 19:30,198,1.5,918,0
9/7/2016 20:00,199,1.5,918,0
9/7/2016 20:30,200,1.51,918,0
9/7/2016 21:00,201,1.51,918,0
9/7/2016 21:30,202,1.52,918,0
9/7/2016 22:00,203,1.52,919,0
9/7/2016 22:30,204,1.51,919,0
9/7/2016 23:00,205,1.53,919,0
9/7/2016 23:30,206,1.51,919,0
9/8/2016 0:00,207,1.52,920,0
9/8/2016 0:30,208,1.5,920,0
9/8/2016 1:00,209,1.51,920,0
9/8/2016 1:30,210,1.52,920,0
9/8/2016 2:00,211,1.52,921,0
9/8/2016 2:30,212,1.51,921,0
9/8/2016 3:00,213,1.51,921,0
9/8/2016 3:30,214,1.52,921,0
9/8/2016 4:00,215,1.49,922,0
9/8/2016 4:30,216,1.51,922,0
9/8/2016 5:00,217,1.51,922,0
9/8/2016 5:30,218,1.51,922,0
9/8/2016 6:00,219,1.51,922,0
9/8/2016 6:30,220,1.51,922,0
9/8/2016 7:00,221,1.51,923,0
9/8/2016 7:30,222,1.52,923,0
9/8/2016 8:00,223,1.51,923,0
9/8/2016 8:30,224,1.51,923,0
9/8/2016 9:00,225,1.5,923,0
9/8/2016 9:30,226,1.52,923,0
9/8/2016 10:00,227,1.9,923,0
9/8/2016 10:30,228,1.51,923,0
9/8/2016 11:00,229,1.49,923,0
9/8/2016 11:30,230,1.51,923,0
9/8/2016 12:00,231,1.49,923,0
9/8/2016 12:30,232,1.88,923,0
9/8/2016 13:00,233,1.5,923,0
9/8/2016 13:30,234,1.5,923,0
9/8/2016 14:00,235,0,922,0
9/8/2016 14:30,236,1.51,922,0
9/8/2016 15:00,237,1.87,922,0
9/8/2016 15:30,238,1.47,921,0
9/8/2016 16:00,239,1.47,921,0
9/8/2016 16:30,240,1.5,921,0
9/8/2016 17:00,241,1.5,920,0
9/8/2016 17:30,242,1.46,920,0
9/8/2016 18:00,243,1.49,920,0
9/8/2016 18:30,244,1.51,920,0
9/8/2016 19:00,245,1.5,920,0
9/8/2016 19:30,246,1.51,919,0
9/8/2016 20:00,247,1.5,919,0
9/8/2016 20:30,248,1.5,920,0
9/8/2016 21:00,249,1.5,920,0
9/8/2016 21:30,250,1.5,920,0
9/8/2016 22:00,251,1.51,920,0
9/8/2016 22:30,252,1.46,920,0
9/8/2016 23:00,253,1.51,920,0
9/8/2016 23:30,254,1.51,920,0
9/9/2016 0:00,255,1.49,920,0
9/9/2016 0:30,256,1.48,919,0
9/9/2016 1:00,257,1.52,919,0
9/9/2016 1:30,258,1.52,919,0
9/9/2016 2:00,259,1.52,918,0
9/9/2016 2:30,260,1.52,918,0
9/9/2016 3:00,261,1.52,918,0
9/9/2016 3:30,262,1.52,917,0
9/9/2016 4:00,263,1.52,917,0
9/9/2016 4:30,264,1.53,917,0
9/9/2016 5:00,265,1.53,916,0
9/9/2016 5:30,266,1.51,916,0
9/9/2016 6:00,267,1.53,916,0
9/9/2016 6:30,268,1.53,915,0
9/9/2016 7:00,269,1.53,915,0
9/9/2016 7:30,270,1.54,914,0
9/9/2016 8:00,271,1.53,914,0
9/9/2016 8:30,272,1.54,913,0.3
9/9/2016 9:00,273,1.52,913,0.1
9/9/2016 9:30,274,1.52,913,0.3
9/9/2016 10:00,275,1.52,912,0.2
9/9/2016 10:30,276,1.52,912,0.2
9/9/2016 11:00,277,1.51,911,0.3
9/9/2016 11:30,278,1.51,911,0.3
9/9/2016 12:00,279,1.47,910,0.2
9/9/2016 12:30,280,1.52,910,0.2
9/9/2016 13:00,281,1.52,910,0.2
9/9/2016 13:30,282,1.51,909,0.2
9/9/2016 14:00,283,1.53,909,0.3
9/9/2016 14:30,284,1.52,915,0.7
9/9/2016 15:00,285,1.47,915,0.9
9/9/2016 15:30,286,1.48,915,0.9
9/9/2016 16:00,287,1.51,916,0.4
9/9/2016 16:30,288,1.49,916,0.4
9/9/2016 17:00,289,1.47,917,0.4
9/9/2016 17:30,290,1.47,917,0.6
9/9/2016 18:00,291,1.46,917,0.3
9/9/2016 18:30,292,1.47,917,0.2
9/9/2016 19:00,293,1.5,917,0.2
9/9/2016 19:30,294,1.47,917,0.2
9/9/2016 20:00,295,1.47,916,0.1
9/9/2016 20:30,296,1.49,915,0.1
9/9/2016 21:00,297,1.49,914,0
9/9/2016 21:30,298,1.49,911,0
9/9/2016 22:00,299,1.47,912,0
9/9/2016 22:30,300,1.51,912,0
9/9/2016 23:00,301,1.48,913,0
9/9/2016 23:30,302,1.47,913,0
9/10/2016 0:00,303,1.47,914,0
9/10/2016 0:30,304,1.47,914,0
9/10/2016 1:00,305,1.47,915,0
9/10/2016 1:30,306,1.48,916,0
9/10/2016 2:00,307,1.47,916,0
9/10/2016 2:30,308,1.51,917,0.1
9/10/2016 3:00,309,1.47,917,0
9/10/2016 3:30,310,1.46,918,0
9/10/2016 4:00,311,1.47,919,0
9/10/2016 4:30,312,1.47,919,0
9/10/2016 5:00,313,1.48,920,0
9/10/2016 5:30,314,1.47,920,0
9/10/2016 6:00,315,1.48,921,0
9/10/2016 6:30,316,1.47,922,0
9/10/2016 7:00,317,1.49,922,0
9/10/2016 7:30,318,1.48,923,0
9/10/2016 8:00,319,1.48,923,0
9/10/2016 8:30,320,1.48,924,0
9/10/2016 9:00,321,1.48,924,0
9/10/2016 9:30,322,1.95,925,0
9/10/2016 10:00,323,1.48,925,0
9/10/2016 10:30,324,1.47,925,0
9/10/2016 11:00,325,1.48,926,0
9/10/2016 11:30,326,1.51,926,0
9/10/2016 12:00,327,1.49,926,0
9/10/2016 12:30,328,1.47,926,0
9/10/2016 13:00,329,1.5,927,0
9/10/2016 13:30,330,1.48,927,0
9/10/2016 14:00,331,1.47,927,0
9/10/2016 14:30,332,1.51,927,0
9/10/2016 15:00,333,1.45,927,0
9/10/2016 15:30,334,1.48,927,0
9/10/2016 16:00,335,1.46,927,0
9/10/2016 16:30,336,1.47,927,0
9/10/2016 17:00,337,1.46,928,0
9/10/2016 17:30,338,1.5,928,0
9/10/2016 18:00,339,1.51,928,0
9/10/2016 18:30,340,1.49,928,0
9/10/2016 19:00,341,1.5,928,0
9/10/2016 19:30,342,1.5,928,0
9/10/2016 20:00,343,1.49,928,0
9/10/2016 20:30,344,1.49,929,0
9/10/2016 21:00,345,1.5,929,0
9/10/2016 21:30,346,1.9,929,0
9/10/2016 22:00,347,1.53,929,0
9/10/2016 22:30,348,1.53,930,0
9/10/2016 23:00,349,1.52,930,0
9/10/2016 23:30,350,1.49,931,0
9/11/2016 0:00,351,1.52,931,0
9/11/2016 0:30,352,1.53,931,0
9/11/2016 1:00,353,1.51,931,0
9/11/2016 1:30,354,1.5,932,0
9/11/2016 2:00,355,1.51,932,0
9/11/2016 2:30,356,1.5,932,0
9/11/2016 3:00,357,1.5,932,0
9/11/2016 3:30,358,1.52,932,0
9/11/2016 4:00,359,1.51,933,0
9/11/2016 4:30,360,1.51,932,0
9/11/2016 5:00,361,1.5,933,0
9/11/2016 5:30,362,1.49,933,0
9/11/2016 6:00,363,1.5,932,0
9/11/2016 6:30,364,1.51,932,0
9/11/2016 7:00,365,1.5,933,0
9/11/2016 7:30,366,1.52,932,0
9/11/2016 8:00,367,1.51,933,0
9/11/2016 8:30,368,1.49,932,0
9/11/2016 9:00,369,1.5,933,0
9/11/2016 9:30,370,1.48,933,0
9/11/2016 10:00,371,1.49,933,0
9/11/2016 10:30,372,1.49,933,0
9/11/2016 11:00,373,1.48,933,0
9/11/2016 11:30,374,1.5,933,0
9/11/2016 12:00,375,1.88,932,0
9/11/2016 12:30,376,1.49,932,0
9/11/2016 13:00,377,1.5,932,0
9/11/2016 13:30,378,1.49,931,0
9/11/2016 14:00,379,1.5,931,0
9/11/2016 14:30,380,1.5,931,0
9/11/2016 15:00,381,1.49,931,0
9/11/2016 15:30,382,1.5,930,0
9/11/2016 16:00,383,1.5,930,0
9/11/2016 16:30,384,1.5,929,0
9/11/2016 17:00,385,1.5,929,0
9/11/2016 17:30,386,1.51,929,0
9/11/2016 18:00,387,1.5,928,0
9/11/2016 18:30,388,1.49,928,0
9/11/2016 19:00,389,1.49,928,0
9/11/2016 19:30,390,1.46,928,0
9/11/2016 20:00,391,1.5,928,0
9/11/2016 20:30,392,1.45,928,0
9/11/2016 21:00,393,1.5,927,0
9/11/2016 21:30,394,1.51,928,0
9/11/2016 22:00,395,1.5,928,0
9/11/2016 22:30,396,1.51,927,0
9/11/2016 23:00,397,1.51,927,0
9/11/2016 23:30,398,1.48,927,0
9/12/2016 0:00,399,1.51,926,0
9/12/2016 0:30,400,1.51,926,0
9/12/2016 1:00,401,1.5,926,0
9/12/2016 1:30,402,1.52,926,0
9/12/2016 2:00,403,1.5,925,0
9/12/2016 2:30,404,1.5,925,0
9/12/2016 3:00,405,1.51,925,0
9/12/2016 3:30,406,1.51,924,0
9/12/2016 4:00,407,1.51,923,0
9/12/2016 4:30,408,1.5,923,0
9/12/2016 5:00,409,1.51,923,0
9/12/2016 5:30,410,1.5,923,0
9/12/2016 6:00,411,1.52,923,0
9/12/2016 6:30,412,1.52,922,0
9/12/2016 7:00,413,1.49,922,0
9/12/2016 7:30,414,1.51,922,0
9/12/2016 8:00,415,1.48,921,0
9/12/2016 8:30,416,1.5,921,0
9/12/2016 9:00,417,1.49,921,0
9/12/2016 9:30,418,1.51,921,0
9/12/2016 10:00,419,1.5,920,0
9/12/2016 10:30,420,1.51,920,0
9/12/2016 11:00,421,1.5,920,0
9/12/2016 11:30,422,1.49,920,0
9/12/2016 12:00,423,1.51,919,0
9/12/2016 12:30,424,1.51,919,0
9/12/2016 13:00,425,1.5,918,0
9/12/2016 13:30,426,1.49,918,0
9/12/2016 14:00,427,1.49,918,0
9/12/2016 14:30,428,1.5,917,0
9/12/2016 15:00,429,1.51,918,0
9/12/2016 15:30,430,1.5,917,0
9/12/2016 16:00,431,1.5,917,0
9/12/2016 16:30,432,1.5,916,0
9/12/2016 17:00,433,1.5,916,0
9/12/2016 17:30,434,1.5,916,0
9/12/2016 18:00,435,1.51,915,0
9/12/2016 18:30,436,1.51,915,0
9/12/2016 19:00,437,1.52,916,0
9/12/2016 19:30,438,1.5,915,0
9/12/2016 20:00,439,1.49,915,0
9/12/2016 20:30,440,1.51,915,0
9/12/2016 21:00,441,1.5,914,0
9/12/2016 21:30,442,1.52,914,0
9/12/2016 22:00,443,1.51,913,0
9/12/2016 22:30,444,1.51,913,0
9/12/2016 23:00,445,1.51,913,0
9/12/2016 23:30,446,1.51,913,0
9/13/2016 0:00,447,1.5,913,0
9/13/2016 0:30,448,1.5,913,0
9/13/2016 1:00,449,1.48,912,0
9/13/2016 1:30,450,1.47,912,0
9/13/2016 2:00,451,1.51,912,0
9/13/2016 2:30,452,1.48,912,0
9/13/2016 3:00,453,1.5,912,0
9/13/2016 3:30,454,1.5,912,0
9/13/2016 4:00,455,1.49,912,0
9/13/2016 4:30,456,1.49,912,0
9/13/2016 5:00,457,1.49,912,0
9/13/2016 5:30,458,1.5,912,0
9/13/2016 6:00,459,1.52,912,0
9/13/2016 6:30,460,1.52,912,0
9/13/2016 7:00,461,1.52,912,0
9/13/2016 7:30,462,1.5,912,0
9/13/2016 8:00,463,1.49,912,0
9/13/2016 8:30,464,1.51,912,0
9/13/2016 9:00,465,1.49,912,0
9/13/2016 9:30,466,1.5,912,0
9/13/2016 10:00,467,1.49,912,0
9/13/2016 10:30,468,1.51,912,0
9/13/2016 11:00,469,1.51,912,0
9/13/2016 11:30,470,1.5,912,0
9/13/2016 12:00,471,1.49,912,0
9/13/2016 12:30,472,1.5,911,0
9/13/2016 13:00,473,1.5,911,0
9/13/2016 13:30,474,1.51,911,0
9/13/2016 14:00,475,1.51,911,0
9/13/2016 14:30,476,1.5,912,0
9/13/2016 15:00,477,1.49,912,0
9/13/2016 15:30,478,1.48,912,0
9/13/2016 16:00,479,1.5,912,0
9/13/2016 16:30,480,1.5,912,0
9/13/2016 17:00,481,1.51,911,0
9/13/2016 17:30,482,1.51,911,0
9/13/2016 18:00,483,1.52,912,0
9/13/2016 18:30,484,1.51,912,0
9/13/2016 19:00,485,1.52,913,0
9/13/2016 19:30,486,1.45,913,0
9/13/2016 20:00,487,1.51,913,0
9/13/2016 20:30,488,1.49,913,0
9/13/2016 21:00,489,1.5,914,0
9/13/2016 21:30,490,1.49,914,0
9/13/2016 22:00,491,1.5,914,0
9/13/2016 22:30,492,1.51,915,0
9/13/2016 23:00,493,1.49,915,0
9/13/2016 23:30,494,1.5,916,0
9/14/2016 0:00,495,1.49,916,0
9/14/2016 0:30,496,1.48,916,0
9/14/2016 1:00,497,1.49,916,0
9/14/2016 1:30,498,1.51,916,0
9/14/2016 2:00,499,1.48,916,0
9/14/2016 2:30,500,1.5,916,0
9/14/2016 3:00,501,1.48,917,0
9/14/2016 3:30,502,1.48,917,0
9/14/2016 4:00,503,1.5,917,0
9/14/2016 4:30,504,1.48,917,0
9/14/2016 5:00,505,1.48,917,0
9/14/2016 5:30,506,1.49,917,0
9/14/2016 6:00,507,1.49,917,0
9/14/2016 6:30,508,1.48,916,0
9/14/2016 7:00,509,1.49,916,0
9/14/2016 7:30,510,1.52,916,0
9/14/2016 8:00,511,1.49,916,0
9/14/2016 8:30,512,1.49,916,0
9/14/2016 9:00,513,1.48,916,0
9/14/2016 9:30,514,1.48,917,0
9/14/2016 10:00,515,1.49,917,0
9/14/2016 10:30,516,1.5,917,0
9/14/2016 11:00,517,1.49,916,0
9/14/2016 11:30,518,1.48,916,0
9/14/2016 12:00,519,1.48,916,0
9/14/2016 12:30,520,1.49,916,0
9/14/2016 13:00,521,1.5,916,0
9/14/2016 13:30,522,1.49,916,0
9/14/2016 14:00,523,1.48,916,0
9/14/2016 14:30,524,1.45,915,0
9/14/2016 15:00,525,1.47,915,0
9/14/2016 15:30,526,1.47,915,0
9/14/2016 16:00,527,1.45,915,0
9/14/2016 16:30,528,1.48,915,0
9/14/2016 17:00,529,1.48,915,0
9/14/2016 17:30,530,1.48,915,0
9/14/2016 18:00,531,1.48,915,0
9/14/2016 18:30,532,1.48,914,0
9/14/2016 19:00,533,1.46,914,0
9/14/2016 19:30,534,1.46,914,0
9/14/2016 20:00,535,1.48,914,0
9/14/2016 20:30,536,1.5,914,0
9/14/2016 21:00,537,1.49,915,0
9/14/2016 21:30,538,1.47,915,0
9/14/2016 22:00,539,1.48,915,0
9/14/2016 22:30,540,1.48,915,0
9/14/2016 23:00,541,1.46,915,0
9/14/2016 23:30,542,1.47,915,0
9/15/2016 0:00,543,1.49,915,0
9/15/2016 0:30,544,1.49,915,0
9/15/2016 1:00,545,1.47,915,0
9/15/2016 1:30,546,1.48,915,0
9/15/2016 2:00,547,1.49,916,0
9/15/2016 2:30,548,1.49,915,0
9/15/2016 3:00,549,1.49,915,0
9/15/2016 3:30,550,1.49,915,0
9/15/2016 4:00,551,1.5,915,0
9/15/2016 4:30,552,1.49,915,0
9/15/2016 5:00,553,1.49,915,0
9/15/2016 5:30,554,1.49,915,0
9/15/2016 6:00,555,1.51,915,0
9/15/2016 6:30,556,1.49,915,0
9/15/2016 7:00,557,1.51,915,0
9/15/2016 7:30,558,1.48,914,0
9/15/2016 8:00,559,1.49,914,0
9/15/2016 8:30,560,1.49,914,0
9/15/2016 9:00,561,1.49,914,0
9/15/2016 9:30,562,1.5,914,0
9/15/2016 10:00,563,1.48,914,0
9/15/2016 10:30,564,1.49,913,0
9/15/2016 11:00,565,1.48,913,0
9/15/2016 11:30,566,1.48,913,0
9/15/2016 12:00,567,1.52,912,0
9/15/2016 12:30,568,1.48,912,0
9/15/2016 13:00,569,1.5,912,0
9/15/2016 13:30,570,0,911,0
9/15/2016 14:00,571,1.5,911,0
9/15/2016 14:30,572,1.52,910,0
9/15/2016 15:00,573,1.46,910,0
9/15/2016 15:30,574,1.52,910,0
9/15/2016 16:00,575,1.5,909,0
9/15/2016 16:30,576,1.46,909,0
9/15/2016 17:00,577,1.48,909,0
9/15/2016 17:30,578,1.49,908,0
9/15/2016 18:00,579,1.48,908,0
9/15/2016 18:30,580,1.48,908,0
9/15/2016 19:00,581,1.45,907,0
9/15/2016 19:30,582,1.46,907,0
9/15/2016 20:00,583,1.46,906,0
9/15/2016 20:30,584,1.45,906,0
9/15/2016 21:00,585,1.46,906,0
9/15/2016 21:30,586,1.47,906,0
9/15/2016 22:00,587,1.46,906,0
9/15/2016 22:30,588,1.47,906,0
9/15/2016 23:00,589,1.46,906,0
9/15/2016 23:30,590,1.47,906,0
9/16/2016 0:00,591,1.48,906,0
9/16/2016 0:30,592,1.5,906,0
9/16/2016 1:00,593,1.48,906,0
9/16/2016 1:30,594,1.46,906,0
9/16/2016 2:00,595,1.5,906,0
9/16/2016 2:30,596,1.48,906,0
9/16/2016 3:00,597,1.48,906,0
9/16/2016 3:30,598,1.48,906,0
9/16/2016 4:00,599,1.48,906,0
9/16/2016 4:30,600,1.48,906,0
9/16/2016 5:00,601,1.47,906,0
9/16/2016 5:30,602,1.48,906,0
9/16/2016 6:00,603,1.47,905,0
9/16/2016 6:30,604,1.48,906,0
9/16/2016 7:00,605,1.48,905,0
9/16/2016 7:30,606,1.49,905,0
9/16/2016 8:00,607,1.49,906,0
9/16/2016 8:30,608,1.52,906,0
9/16/2016 9:00,609,1.49,906,0
9/16/2016 9:30,610,1.48,905,0
9/16/2016 10:00,611,1.5,906,0
9/16/2016 10:30,612,1.5,906,0
9/16/2016 11:00,613,1.52,906,0
9/16/2016 11:30,614,1.52,906,0
9/16/2016 12:00,615,1.5,906,0
9/16/2016 12:30,616,1.52,906,0
9/16/2016 13:00,617,1.51,906,0
9/16/2016 13:30,618,1.5,906,0
9/16/2016 14:00,619,1.5,906,0
9/16/2016 14:30,620,1.5,906,0
9/16/2016 15:00,621,1.51,906,0
9/16/2016 15:30,622,1.51,906,0
9/16/2016 16:00,623,1.5,906,0
9/16/2016 16:30,624,1.49,906,0
9/16/2016 17:00,625,1.51,906,0
9/16/2016 17:30,626,1.5,906,0
9/16/2016 18:00,627,1.52,906,0
9/16/2016 18:30,628,1.53,906,0
9/16/2016 19:00,629,1.46,906,0
9/16/2016 19:30,630,1.52,906,0
9/16/2016 20:00,631,1.53,906,0
9/16/2016 20:30,632,1.46,906,0
9/16/2016 21:00,633,1.46,906,0
9/16/2016 21:30,634,1.47,906,0
9/16/2016 22:00,635,1.48,906,0
9/16/2016 22:30,636,1.48,906,0
9/16/2016 23:00,637,1.51,906,0
9/16/2016 23:30,638,1.49,906,0
9/17/2016 0:00,639,1.5,906,0
9/17/2016 0:30,640,1.51,906,0
9/17/2016 1:00,641,1.51,906,0
9/17/2016 1:30,642,1.49,906,0
9/17/2016 2:00,643,1.49,906,0
9/17/2016 2:30,644,1.52,906,0
9/17/2016 3:00,645,1.49,906,0
9/17/2016 3:30,646,1.49,906,0
9/17/2016 4:00,647,1.49,906,0
9/17/2016 4:30,648,1.49,906,0
9/17/2016 5:00,649,1.49,906,0
9/17/2016 5:30,650,1.49,906,0
9/17/2016 6:00,651,1.5,907,0
9/17/2016 6:30,652,1.49,907,0
9/17/2016 7:00,653,1.49,907,0
9/17/2016 7:30,654,1.49,907,0
9/17/2016 8:00,655,1.49,907,0
9/17/2016 8:30,656,1.49,907,0
9/17/2016 9:00,657,1.49,907,0
